Id,OwnerUserId,Score,ViewCount,CommentCount
195,173.0,5,506.0,0
196,87.0,19,4090.0,2
197,5.0,9,,1
198,61.0,3,,0
199,5.0,4,,0
200,174.0,13,,3
201,183.0,8,,0
202,183.0,11,,0
203,183.0,16,6033.0,2
204,183.0,7,,2
205,187.0,12,543.0,0
206,188.0,13,70255.0,1
207,,48,,0
208,74.0,4,,1
209,174.0,19,,4
210,183.0,9,,3
211,187.0,6,,0
212,190.0,3,430.0,0
213,159.0,51,9772.0,3
214,40.0,4,,0
215,187.0,1,,2
216,191.0,9,483.0,0
217,5.0,6,,4
218,187.0,2,,0
219,154.0,3,,3
220,85.0,14,9481.0,2
221,159.0,15,,2
222,191.0,26,36801.0,1
223,79.0,5,291.0,5
224,128.0,8,1418.0,3
225,196.0,7,617.0,2
226,173.0,12,,2
227,144.0,2,,1
228,10.0,2,,0
229,159.0,10,,2
230,173.0,5,,0
231,199.0,4,,2
232,103.0,12,,2
234,198.0,5,,1
235,13.0,4,,0
236,138.0,0,,0
237,199.0,1,,0
238,138.0,8,,0
240,114.0,4,,1
241,196.0,5,,1
242,199.0,12,470.0,5
243,196.0,7,,0
244,13.0,17,,4
245,196.0,0,,0
246,198.0,6,,0
247,171.0,2,,1
248,211.0,4,,0
249,213.0,4,454.0,1
250,171.0,5,,5
252,81.0,5,,3
253,215.0,7,,0
254,8.0,4,,3
255,88.0,8,,1
256,217.0,14,1422.0,0
257,217.0,14,6700.0,1
258,217.0,14,780.0,0
259,217.0,12,,5
260,217.0,12,,1
261,159.0,12,,4
262,8.0,13,,7
263,190.0,8,,6
264,217.0,5,,0
265,88.0,14,,0
266,128.0,3,,0
267,194.0,7,4254.0,1
268,107.0,3,,1
269,62.0,11,53644.0,0
270,90.0,12,1291.0,0
271,8.0,7,,0
272,216.0,2,,0
273,216.0,1,,0
274,90.0,10,,3
275,88.0,5,,0
276,90.0,8,1517.0,0
277,215.0,12,3033.0,0
278,221.0,6,120.0,1
279,62.0,9,,0
280,221.0,4,,0
281,215.0,2,,0
282,81.0,23,,3
283,215.0,22,13685.0,0
284,215.0,1,,1
285,183.0,1,,1
286,211.0,12,,0
287,90.0,7,1068.0,1
288,220.0,5,1093.0,0
289,80.0,4,,0
290,189.0,6,811.0,1
291,211.0,7,,0
292,56.0,2,,0
293,211.0,4,,1
294,211.0,25,,0
295,62.0,8,,0
296,127.0,10,,0
297,56.0,5,,0
298,125.0,55,67592.0,4
299,5.0,8,,0
300,56.0,4,,0
301,8.0,6,,7
302,196.0,1,,2
303,,2,,2
304,196.0,0,,3
305,196.0,27,2939.0,0
306,5.0,8,,2
307,229.0,13,,3
308,22.0,1,,0
309,88.0,2,,1
310,,1,,5
311,89.0,7,,1
312,,4,118.0,0
313,226.0,3,,2
314,5.0,11,,1
315,36.0,5,,0
316,36.0,7,,1
317,56.0,18,,0
318,,4,,0
319,71.0,15,,2
320,61.0,14,,0
321,220.0,10,1950.0,4
322,3807.0,11,1449.0,0
323,3807.0,22,,2
324,3807.0,9,,0
326,3807.0,12,,1
327,3807.0,1,,0
328,75.0,5,2388.0,3
329,5.0,11,,0
331,61.0,5,,1
333,74.0,3,,3
337,88.0,1,,4
338,89.0,7,,2
339,218.0,1,,6
340,74.0,5,,0
341,88.0,2,435.0,0
342,139.0,3,,0
343,88.0,3,,0
344,88.0,3,,2
345,247.0,1,,0
346,247.0,26,4873.0,2
347,15.0,2,,0
348,24.0,-4,,2
349,54.0,8,,5
350,178.0,1,,0
351,16.0,4,,0
352,8.0,1,,1
353,61.0,11,,1
354,3807.0,8,676.0,0
355,158.0,1,,0
356,8.0,2,,0
357,3807.0,5,,5
358,88.0,6,,4
359,90.0,9,425.0,1
360,88.0,4,,2
361,170.0,13,,1
362,196.0,14,25597.0,0
363,74.0,52,5188.0,2
365,226.0,4,,0
366,226.0,1,,0
367,90.0,17,,1
368,,2,,2
369,191.0,6,485.0,0
370,159.0,27,,2
371,34.0,15,,2
372,252.0,2,754.0,5
373,252.0,24,1439.0,2
374,252.0,6,273.0,0
375,252.0,7,437.0,1
376,61.0,9,,0
377,173.0,7,,0
378,68.0,11,,0
379,190.0,5,,0
380,88.0,3,,0
381,223.0,6,,0
382,190.0,3,,0
383,251.0,3,,0
384,190.0,1,,0
385,190.0,4,,1
386,223.0,10,,5
387,69.0,36,,0
388,251.0,4,,1
389,199.0,12,,0
390,74.0,4,,3
392,251.0,5,,0
393,223.0,26,,2
394,210.0,0,,0
395,210.0,4,174.0,1
396,,31,2694.0,0
397,8.0,5,,0
398,5.0,14,,1
399,190.0,22,,3
400,210.0,10,,3
401,256.0,2,,0
402,226.0,3,,2
403,256.0,1,,0
404,46.0,6,,1
405,190.0,1,,1
406,256.0,11,,0
407,256.0,1,,0
408,56.0,8,,0
409,219.0,2,232.0,0
410,56.0,2,,2
411,89.0,31,3293.0,8
412,8.0,4,,0
413,223.0,5,,0
414,89.0,20,5291.0,0
415,223.0,4,,1
416,215.0,14,,1
417,251.0,6,,0
418,77.0,13,1382.0,1
419,215.0,4,,0
420,89.0,8,,1
421,219.0,52,11458.0,4
422,247.0,0,,1
423,5.0,156,64481.0,7
424,88.0,109,,3
425,13.0,88,,0
427,215.0,14,,0
428,210.0,3,,2
429,39.0,14,,5
430,251.0,14,,2
431,215.0,7,,0
432,8.0,96,,1
433,5.0,40,,0
434,215.0,24,,4
435,88.0,84,,1
436,215.0,14,,0
437,215.0,2,,1
438,215.0,10,,1
439,30.0,8,,1
440,36.0,13,,0
441,36.0,5,,0
442,36.0,7,,0
443,215.0,7,,0
445,215.0,2,,2
446,215.0,7,,0
447,215.0,5,,0
448,77.0,6,,0
449,215.0,1,,0
450,88.0,6,,3
451,215.0,5,,1
452,215.0,9,9951.0,4
453,74.0,8,,0
454,62.0,1,,0
455,13.0,27,,1
456,39.0,6,,0
457,,4,,3
458,226.0,2,,0
459,259.0,7,367.0,0
460,61.0,6,,2
461,71.0,2,,3
462,88.0,8,,0
463,90.0,5,,0
464,88.0,3,,4
465,90.0,2,,0
466,115.0,5,,0
467,115.0,5,,0
468,251.0,4,,0
469,251.0,4,,0
470,36.0,32,,6
471,168.0,14,,1
472,61.0,6,,0
473,260.0,2,,0
474,260.0,5,,0
475,253.0,3,,0
476,251.0,7,,0
477,251.0,1,,0
478,251.0,12,,4
479,128.0,9,,4
480,223.0,14,1711.0,0
481,199.0,7,885.0,0
482,190.0,5,,0
483,88.0,14,,2
485,183.0,48,4470.0,3
486,266.0,17,23985.0,4
487,266.0,9,,1
488,183.0,10,,1
489,214.0,3,,0
490,223.0,16,2262.0,2
491,268.0,2,,0
492,210.0,10,534.0,3
493,268.0,3,,0
494,88.0,6,,2
495,214.0,6,,1
496,190.0,6,,0
497,190.0,3,,4
498,62.0,2,2137.0,11
499,267.0,17,478.0,0
500,190.0,2,,1
501,88.0,3,,7
502,,5,,0
503,256.0,2,,1
504,5.0,4,,0
505,88.0,5,,0
506,215.0,13,,1
507,215.0,12,3303.0,1
508,266.0,1,,0
509,,2,,0
510,266.0,35,,0
511,3807.0,26,,0
512,33.0,8,,2
513,260.0,2,,0
514,266.0,2,,0
515,270.0,8,,1
516,251.0,3,,0
517,68.0,13,1760.0,2
518,88.0,3,,1
519,270.0,4,,2
520,190.0,2,,5
521,190.0,7,,0
522,39.0,12,,1
523,74.0,4,,2
524,,8,284.0,0
525,247.0,9,,0
526,88.0,7,466.0,0
527,114.0,6,2504.0,2
528,3807.0,2,,1
529,,1,,4
530,159.0,8,,0
531,159.0,4,,0
532,159.0,12,,5
533,251.0,7,,1
534,159.0,44,11149.0,6
535,251.0,2,,0
537,,11,,0
538,260.0,23,,5
539,174.0,34,9369.0,2
540,183.0,9,,0
541,159.0,14,,3
542,183.0,7,,0
543,183.0,5,,0
544,183.0,13,,0
545,273.0,1,,0
546,183.0,29,,5
547,88.0,8,,0
548,266.0,5,571.0,0
549,270.0,3,,1
550,5.0,11,,0
551,215.0,36,,4
552,215.0,10,,0
553,215.0,6,,0
554,215.0,10,,0
555,,46,6287.0,3
556,215.0,-1,,1
557,215.0,33,,4
558,39.0,11,339.0,0
559,88.0,5,,0
560,5.0,9,,2
561,215.0,12,,0
562,5.0,10,1005.0,1
563,215.0,8,1855.0,5
564,215.0,5,1498.0,2
565,88.0,2,,1
566,190.0,7,,6
567,92.0,11,,1
568,92.0,2,,1
569,5.0,3,,0
570,251.0,12,753.0,2
571,217.0,6,,1
572,251.0,14,,0
573,190.0,10,1043.0,3
574,88.0,0,,2
575,196.0,14,6570.0,3
576,36.0,3,,0
577,196.0,79,22354.0,2
578,196.0,2,,1
579,88.0,6,,11
581,99.0,4,3982.0,2
582,108.0,4,,1
583,39.0,37,,2
584,240.0,0,,0
585,240.0,4,,1
586,251.0,3,,0
587,159.0,31,,6
588,61.0,6,,4
589,61.0,6,,0
590,190.0,2,242.0,3
591,200.0,2,,0
592,57.0,3,,2
593,5.0,3,,1
594,240.0,12,273.0,1
595,223.0,7,,5
596,240.0,0,247.0,7
597,240.0,2,,0
598,22.0,5,,2
599,61.0,9,,0
600,30.0,8,,2
602,88.0,3,247.0,2
603,30.0,3,,5
604,165.0,7,480.0,6
605,88.0,1,,1
606,30.0,11,,0
607,30.0,70,,1
608,196.0,19,1244.0,9
609,223.0,6,,2
610,159.0,9,,0
611,223.0,4,,2
612,144.0,12,3981.0,4
613,30.0,9,,4
614,107.0,22,2267.0,6
615,88.0,2,,3
616,5.0,6,,0
617,5.0,9,,1
618,54.0,15,,6
619,240.0,4,,1
620,253.0,3,,0
621,88.0,3,,0
622,159.0,15,3833.0,0
623,87.0,3,,0
624,59.0,3,239.0,0
625,159.0,4,,2
626,30.0,5,,3
627,236.0,10,,0
628,,16,,3
631,88.0,22,4341.0,0
632,223.0,4,,4
633,59.0,4,411.0,0
634,5.0,7,,0
635,30.0,13,,1
636,88.0,1,,4
637,74.0,4,,0
638,59.0,8,771.0,0
640,,12,,0
641,74.0,4,1286.0,2
642,59.0,1,,0
643,7.0,21,1582.0,2
644,288.0,5,,1
645,9426.0,11,2750.0,1
646,302.0,9,,1
647,25.0,-2,,3
648,68.0,13,,7
650,190.0,3,,3
651,25.0,2,,1
652,9426.0,16,16577.0,12
653,190.0,4,,0
654,88.0,5,,0
655,315.0,2,,2
656,25.0,61,,1
657,315.0,3,,0
658,88.0,14,,13
659,317.0,2,,1
660,292.0,7,510.0,3
661,319.0,7,,0
662,319.0,8,,0
663,319.0,17,,2
664,319.0,3,,0
665,327.0,39,11200.0,0
667,88.0,6,,2
668,319.0,4,,0
669,319.0,4,,1
671,302.0,7,,0
672,333.0,21,5405.0,2
673,25.0,8,,3
674,,4,,2
675,89.0,49,,5
676,288.0,2,,0
677,74.0,5,,1
678,81.0,3,,0
680,74.0,17,,2
681,279.0,2,,0
682,74.0,6,,3
683,223.0,2,,0
684,81.0,5,,6
685,327.0,-3,288.0,5
686,339.0,8,,1
687,81.0,2,,1
689,,7,,0
691,352.0,8,,0
692,72.0,9,332.0,0
693,319.0,32,,1
694,74.0,66,,1
695,173.0,3,,1
696,173.0,1,,0
697,367.0,1,,0
699,352.0,7,,0
700,368.0,4,,0
701,369.0,2,,1
702,,2,,2
703,251.0,3,,0
704,,0,,1
705,,4,,3
706,378.0,8,,2
707,188.0,4,,6
708,25692.0,3,,1
709,401.0,8,,3
710,196.0,3,,0
711,401.0,7,,5
712,402.0,12,1343.0,1
713,,3,,1
714,,6,,0
715,130.0,2,594.0,0
717,196.0,1,,0
718,25.0,5,,1
720,25.0,18,,4
721,251.0,4,,0
722,25.0,5,,0
723,190.0,7,1836.0,0
724,251.0,9,,0
725,223.0,5,644.0,0
726,223.0,124,34780.0,1
727,223.0,61,,2
728,223.0,32,,2
729,159.0,74,,6
730,159.0,146,,5
731,251.0,4,,2
732,251.0,57,,4
733,88.0,3,,4
734,88.0,2,,3
735,56.0,0,,0
736,300.0,3,,0
737,,45,,2
738,188.0,46,,1
739,,94,,3
741,251.0,4,,1
743,210.0,4,441.0,0
744,319.0,115,,6
745,,2,,0
746,319.0,6,,0
747,144.0,5,,0
748,434.0,58,,1
749,339.0,11,,2
750,127.0,17,,6
751,127.0,4,,1
752,127.0,28,,6
753,127.0,78,,1
754,223.0,4,,1
755,183.0,36,,1
757,439.0,3,,0
758,190.0,6,,0
759,88.0,3,,2
760,442.0,14,,4
761,251.0,7,,0
762,214.0,5,,0
763,438.0,10,,2
764,445.0,12,1725.0,0
765,442.0,8,,1
766,449.0,3,,1
767,447.0,83,,7
768,,2,,1
769,327.0,2,247.0,4
770,453.0,6,282.0,0
771,88.0,0,,0
772,5.0,11,,1
773,447.0,9,,0
774,5.0,7,,0
775,460.0,9,1423.0,0
776,5.0,2,,0
777,334.0,11,,0
778,447.0,8,,1
779,463.0,8,857.0,5
780,172.0,9,,1
781,22.0,3,,0
782,223.0,3,,0
783,442.0,35,,6
784,22.0,3,,0
785,447.0,15,,0
786,460.0,18,,1
787,460.0,3,,1
788,460.0,1,,2
789,447.0,4,,1
790,228.0,3,1540.0,3
791,447.0,3,,0
792,88.0,4,,0
793,3807.0,0,,0
794,7620.0,28,,2
795,474.0,-3,728.0,2
796,442.0,19,,1
797,,4,,0
798,476.0,21,28339.0,0
799,447.0,7,,2
800,,1,,0
801,210.0,2,,2
802,196.0,4,,0
803,257.0,2,,0
804,447.0,9,,2
805,,2,551.0,0
806,59.0,4,1793.0,1
807,196.0,0,,0
808,482.0,6,,2
809,,2,,0
810,25.0,7,,3
811,,9,,1
812,223.0,6,942.0,1
813,,57,,4
814,,4,,0
815,368.0,4,,2
816,56.0,4,,0
817,62.0,4,,0
818,480.0,1,,1
819,25.0,3,,0
820,488.0,0,125.0,1
821,,1,,0
822,247.0,2,,1
823,25.0,-7,,8
824,39.0,15,,2
825,480.0,22,5272.0,8
826,215.0,4,,0
827,5.0,13,,6
828,334.0,4,,3
829,491.0,3,,0
830,447.0,3,,2
831,494.0,1,,0
832,,2,,1
833,495.0,8,,1
834,498.0,3,3981.0,3
835,62.0,9,,2
836,334.0,3,,0
837,501.0,0,1195.0,0
838,288.0,2,,0
839,39.0,4,,0
840,288.0,1,,0
841,30.0,14,1016.0,2
842,88.0,5,,2
843,56.0,0,,0
844,,3,,1
845,8.0,5,,4
846,503.0,1,437.0,1
847,500.0,0,123.0,3
848,,0,,0
849,485.0,21,,4
850,88.0,0,,1
851,8.0,4,,0
852,,2,361.0,0
853,74.0,1,,0
854,506.0,2,,5
855,8.0,1,,0
856,506.0,8,1655.0,0
857,482.0,6,,0
858,485.0,1,,2
859,445.0,11,1535.0,0
860,511.0,4,,2
861,481.0,3,,0
862,159.0,16,,4
863,196.0,4,,0
864,,3,,0
865,401.0,0,,2
866,455.0,55,11646.0,3
867,364.0,3,,0
868,9426.0,3,792.0,1
869,196.0,2,,1
870,520.0,13,14181.0,4
871,520.0,19,9102.0,1
872,159.0,6,,0
873,251.0,1,,0
874,260.0,9,,0
875,163.0,16,,1
876,530.0,31,,0
877,531.0,3,716.0,1
878,,38,,6
879,251.0,6,,0
880,223.0,6,392.0,2
881,34.0,5,264.0,0
882,223.0,4,,0
883,159.0,3,,0
884,541.0,28,1102.0,0
886,,9,1538.0,4
887,213.0,3,723.0,1
889,,1,,0
890,,2,913.0,1
893,236.0,12,,2
894,1356.0,22,,3
895,8.0,2,,0
897,284.0,8,2528.0,0
898,5.0,5,725.0,1
899,219.0,11,860.0,3
900,,1,,0
901,11.0,1,,0
902,247.0,2,,1
903,11.0,3,,0
904,549.0,7,,2
905,549.0,9,,1
908,88.0,6,,3
909,364.0,2,,1
910,88.0,3,,6
911,549.0,3,,1
912,549.0,1,,0
913,59.0,3,600.0,2
914,88.0,3,,0
915,247.0,3,,0
916,287.0,4,,2
917,287.0,5,,5
918,251.0,3,,2
919,287.0,1,,0
920,559.0,4,653.0,0
922,251.0,2,,1
924,559.0,6,719.0,2
925,,0,,0
926,287.0,5,,6
927,319.0,17,778.0,0
928,1356.0,5,2162.0,3
929,560.0,0,191.0,4
930,88.0,1,,2
931,561.0,4,,2
932,,3,,0
933,561.0,2,,0
934,511.0,6,,4
935,39.0,1,,1
936,253.0,2,,1
937,251.0,7,,0
938,,1,,1
939,559.0,3,556.0,2
940,87.0,7,,0
941,251.0,6,,0
942,75.0,15,1955.0,0
943,279.0,2,,0
944,,1,168.0,5
945,334.0,2,,0
946,569.0,2,633.0,0
947,287.0,5,,1
948,287.0,1,,2
949,511.0,15,1880.0,9
950,99.0,1,,12
951,172.0,6,574.0,0
952,513.0,3,322.0,2
953,183.0,1,,0
954,183.0,4,,0
955,175.0,0,1267.0,6
956,25.0,10,,1
957,25.0,0,,2
958,183.0,1,,0
959,183.0,2,,0
960,88.0,2,,0
961,582.0,10,1991.0,0
962,223.0,10,,1
963,339.0,3,,2
964,438.0,3,393.0,0
965,56.0,4,,1
966,334.0,2,,2
967,215.0,23,,4
968,1356.0,58,,3
969,144.0,7,,0
970,247.0,1,,0
971,339.0,10,,3
972,566.0,1,,0
973,223.0,16,4214.0,2
975,8.0,2,,0
977,210.0,2,373.0,0
978,8.0,3,,0
980,,4,3839.0,7
981,8.0,6,,11
982,6.0,6,,3
983,6.0,2,,1
984,601.0,1,,1
986,419.0,3,,0
990,3807.0,4,,1
991,603.0,1,,0
992,603.0,1,,0
993,506.0,6,,2
994,,6,,0
995,,3,,0
996,603.0,13,,0
997,25.0,9,,2
998,3807.0,0,,0
999,,3,,0
1000,549.0,4,,0
1001,608.0,3,1036.0,6
1003,36.0,8,,0
1004,88.0,10,,6
1005,36.0,10,,1
1006,419.0,4,,0
1008,419.0,1,,1
1009,419.0,3,,0
1010,8.0,8,,0
1011,378.0,4,,1
1012,196.0,0,538.0,3
1013,56.0,1,,2
1014,614.0,8,,0
1015,108.0,7,699.0,2
1016,614.0,8,4921.0,0
1018,88.0,2,,0
1019,88.0,2,,3
1020,88.0,2,,0
1021,88.0,2,,0
1023,74.0,7,692.0,1
1024,378.0,3,,0
1025,3807.0,4,,1
1026,159.0,24,,6
1027,,0,,3
1028,608.0,10,3899.0,0
1029,183.0,3,,0
1030,530.0,6,,0
1031,223.0,6,,4
1032,531.0,2,,0
1033,,0,,0
1035,419.0,4,,0
1036,557.0,14,,2
1038,1356.0,1,,0
1039,319.0,4,,0
1040,168.0,1,759.0,3
1041,,2,,1
1043,601.0,1,,0
1044,319.0,5,,1
1045,,3,427.0,1
1046,253.0,5,,0
1047,614.0,13,4458.0,0
1048,247.0,8,,2
1049,,7,,1
1050,1356.0,9,,3
1051,251.0,5,,6
1052,,10,3519.0,0
1053,172.0,17,1552.0,1
1054,172.0,4,508.0,0
1055,159.0,20,,2
1056,251.0,10,,0
1057,251.0,2,,0
1058,251.0,9,,0
1059,183.0,25,,0
1060,339.0,6,958.0,0
1061,603.0,11,,4
1062,368.0,4,713.0,1
1063,353.0,5,11865.0,0
1064,253.0,51,,2
1065,601.0,6,,1
1066,634.0,1,268.0,5
1068,493.0,4,,8
1069,39.0,4,,4
1070,251.0,4,,3
1072,603.0,4,,3
1073,638.0,12,,4
1074,638.0,2,,1
1079,87.0,4,,1
1080,572.0,1,,0
1081,144.0,3,556.0,2
1082,,3,651.0,0
1083,603.0,3,,0
1084,642.0,4,667.0,0
1086,159.0,6,,2
1087,643.0,7,,0
1088,643.0,18,,0
1089,643.0,7,,0
1090,643.0,7,,0
1091,,2,,0
1092,251.0,2,,0
1093,647.0,2,386.0,2
1094,,2,,11
1095,282.0,0,215.0,1
1097,438.0,44,,10
1098,647.0,3,,1
1099,588.0,6,1409.0,3
1100,30.0,8,,0
1101,485.0,3,,0
1102,,0,,2
1103,215.0,4,,0
1104,17.0,15,,0
1106,88.0,4,,0
1107,,1,,0
1108,442.0,4,,0
1109,495.0,7,,0
1110,1356.0,3,,0
1111,302.0,5,,0
1112,652.0,11,5715.0,9
1113,442.0,18,,1
1114,495.0,7,,1
1115,474.0,-2,973.0,3
1116,,3,,1
1117,419.0,0,,0
1118,,0,,3
1119,,2,,0
1120,,2,,0
1121,162.0,0,,1
1122,419.0,5,,0
1123,,2,323.0,0
1124,334.0,0,,0
1125,,1,,0
1126,660.0,10,387.0,5
1127,187.0,1,,0
1128,334.0,5,,2
1129,187.0,1,,0
1130,474.0,4,467.0,0
1131,8.0,4,,0
1132,8.0,4,,1
1133,287.0,6,6064.0,2
1134,5.0,4,,0
1135,5.0,3,,0
1136,5.0,1,,2
1137,,0,,0
1138,59.0,1,,0
1140,665.0,4,,0
1141,665.0,4,,0
1142,667.0,36,11691.0,5
1144,666.0,1,,2
1145,666.0,1,,0
1146,668.0,3,,1
1147,,4,,5
1148,33.0,4,,5
1149,,41,3390.0,2
1150,159.0,36,,3
1151,251.0,10,,2
1152,196.0,1,,0
1153,159.0,29,,8
1154,251.0,9,,0
1155,672.0,1,,0
1156,253.0,1,,0
1157,11.0,4,,0
1158,159.0,5,,0
1159,251.0,1,,0
1160,253.0,1,387.0,6
1161,159.0,4,,0
1162,251.0,2,,0
1164,438.0,50,2732.0,3
1165,5.0,1,,0
1166,223.0,8,,0
1169,364.0,5,710.0,0
1170,319.0,40,,5
1171,449.0,10,,5
1172,449.0,11,,0
1173,8.0,13,1765.0,5
1174,634.0,20,18749.0,0
1175,495.0,1,,3
1176,334.0,8,,7
1177,8.0,5,,0
1178,378.0,5,,1
1179,199.0,1,,2
1180,319.0,2,,2
1181,339.0,9,,2
1182,364.0,6,,6
1183,88.0,2,,5
1184,573.0,3,1199.0,0
1185,8.0,20,,3
1186,632.0,2,,0
1187,39.0,2,,1
1188,61.0,1,,0
1189,61.0,3,,0
1190,686.0,1,,0
1191,686.0,1,,0
1192,686.0,0,,0
1193,686.0,1,,1
1194,11.0,29,5877.0,17
1195,687.0,5,237.0,1
1196,666.0,15,,0
1197,303.0,6,,0
1198,666.0,6,,3
1199,5.0,4,,0
1200,,6,,1
1201,666.0,1,,0
1202,608.0,2,361.0,0
1203,196.0,4,,2
1204,287.0,0,,0
1205,366.0,4,3157.0,2
1206,159.0,9,,11
1207,667.0,15,3766.0,0
1210,485.0,9,,4
1211,521.0,3,,0
1212,25692.0,10,,1
1213,25692.0,47,,1
1214,159.0,17,,6
1215,698.0,2,139.0,0
1216,159.0,3,,2
1217,183.0,8,,1
1218,,0,,0
1219,702.0,8,,0
1220,8.0,3,,0
1221,521.0,7,,0
1222,521.0,5,,4
1223,127.0,11,3783.0,11
1224,,2,153.0,3
1225,686.0,3,,0
1226,319.0,3,,0
1228,588.0,8,286.0,2
1229,442.0,3,,0
1230,358.0,4,,1
1231,8.0,1,,0
1232,210.0,1,,0
1233,,1,,1
1234,603.0,3,,3
1235,5.0,4,,1
1236,124.0,1,,1
1237,196.0,1,,0
1238,729.0,1,,2
1240,334.0,2,,0
1241,684.0,10,1608.0,2
1243,732.0,1,,2
1244,732.0,2,,0
1245,334.0,9,,3
1246,279.0,5,,0
1247,601.0,6,,0
1248,279.0,2,,0
1249,168.0,5,425.0,6
1251,8.0,15,,4
1252,59.0,22,5329.0,1
1253,738.0,6,267.0,1
1254,253.0,14,,1
1255,303.0,2,,2
1256,196.0,5,757.0,4
1257,,1,129.0,1
1258,287.0,7,,0
1259,743.0,4,,0
1260,253.0,0,,0
1261,287.0,3,213.0,4
1262,,2,,0
