Id,Reputation,Views,UpVotes,DownVotes
378,316,6,2,0
380,101,2,4,0
381,101,0,1,0
382,101,0,0,0
383,101,1,3,0
384,101,0,0,0
385,101,0,0,0
386,891,185,55,0
389,101,0,7,0
390,101,0,0,0
391,101,2,1,0
392,101,2,1,0
393,101,1,0,0
394,33,5,0,0
395,101,0,7,0
396,101,2,0,0
397,101,7,2,0
398,101,4,1,0
399,101,0,0,0
400,213,14,0,0
401,6906,1070,394,6
402,61,2,0,0
406,101,2,0,0
407,101,2,0,0
408,101,1,0,0
410,123,5,21,0
411,101,1,2,0
412,101,1,8,0
413,101,0,26,0
414,106,4,1,0
417,101,1,1,0
419,379,25,7,0
420,101,4,244,0
422,111,1,7,0
424,101,1,0,0
426,101,1,0,0
427,38,10,17,0
428,126,1,0,0
431,71,28,1,0
432,101,1,0,0
434,111,7,54,0
435,101,1,0,0
436,101,0,0,0
438,2133,272,28,1
439,2031,268,152,1
440,101,0,0,0
441,101,0,0,0
442,6431,973,857,21
443,11,1,0,0
444,101,0,0,0
445,152,10,32,0
446,118,8,12,0
447,1422,173,20,0
449,12813,1089,1607,57
452,111,1,3,0
453,131,1,0,0
455,378,24,26,0
456,101,1,0,0
457,101,0,0,0
458,101,0,0,0
460,148,5,4,0
461,101,2,13,0
462,101,0,0,0
463,141,11,11,0
465,101,1,0,0
467,101,3,3,0
468,141,1,2,0
469,101,0,1,0
472,101,0,0,0
474,22,12,0,0
475,101,1,0,0
476,208,7,0,1
478,300,29,13,0
480,113,4,0,0
481,31,4,0,0
482,61,9,0,0
483,101,1,0,0
485,2908,265,444,11
486,101,0,46,0
488,109,7,2,0
490,1,1,0,0
491,46,3,0,0
492,1,6,0,0
493,909,96,87,4
494,11,9,0,0
495,2092,272,32,4
498,19,1,0,0
500,104,2,0,0
501,300,20,9,0
503,108,8,1,0
504,101,3,1,0
506,223,29,14,0
509,139,90,24,2
510,101,1,0,0
511,1796,516,33,4
512,101,1,0,0
513,16,5,0,0
516,157,11,3,0
517,101,0,0,0
520,268,42,9,0
521,2133,205,65,0
522,101,1,0,0
523,326,32,10,0
524,101,1,0,0
526,1,1,0,0
527,125,6,61,0
528,148,22,1,0
529,118,40,61,0
530,599,77,2,0
531,19,7,0,0
536,101,1,0,0
539,279,31,14,0
541,141,9,0,0
542,101,1,0,0
543,101,0,0,0
546,138,11,1,0
547,101,10,0,0
549,286,39,5,0
553,101,4,0,0
555,101,2,0,0
556,113,22,33,0
557,1273,142,58,0
558,101,1,0,0
559,485,44,9,0
560,104,6,0,0
561,2002,186,155,11
562,173,21,6,0
563,101,0,0,0
564,101,0,0,0
565,125,32,22,0
566,11,37,17,0
569,307,46,43,0
572,161,19,2,0
573,365,40,260,0
575,101,3,0,0
577,101,0,0,0
578,65,14,7,0
582,2400,293,692,23
583,101,0,0,0
586,101,0,1,0
588,1034,185,38,0
589,58,11,4,0
590,101,1,0,0
591,101,1,0,0
593,108,0,3,0
594,101,1,0,0
595,146,25,57,0
596,101,2,0,0
597,232,12,178,2
600,165,4,33,0
601,13478,1286,283,17
603,10647,1225,683,49
605,108,3,4,0
606,101,0,0,0
608,138,18,4,0
609,691,113,44,1
612,1,1,0,0
613,101,0,0,0
614,305,34,7,0
615,379,51,163,49
616,26,6,0,0
617,101,0,9,0
618,101,2,0,0
621,101,1,22,0
624,121,6,0,0
626,101,3,0,0
629,133,9,0,0
631,101,1,0,0
632,202,38,69,0
633,101,2,0,0
634,426,47,8,0
635,146,3,1,0
636,1,0,0,0
637,118,6,25,0
638,241,13,2,0
640,101,1,0,0
641,1,0,0,0
642,23,0,0,0
643,251,31,13,0
644,28,16,2,0
646,111,5,26,1
647,141,19,14,0
648,101,0,0,0
650,230,42,45,0
652,158,6,0,0
653,1,4,0,0
656,2320,203,1273,7
660,286,37,16,3
665,58,3,5,0
666,1855,105,71,0
667,406,56,11,0
668,101,12,2,0
669,101,1,0,0
671,101,4,9,0
672,111,8,1,0
676,101,9,0,0
677,101,0,2,0
679,336,15,0,0
681,101,0,4,0
682,101,1,0,0
683,101,1,0,0
684,186,16,8,0
685,1,0,0,0
686,44152,7357,2156,82
687,26,0,0,0
689,101,0,0,0
690,121,7,5,0
691,1,1,0,0
692,101,0,0,0
696,2282,182,136,18
697,176,18,57,2
698,113,2,2,0
700,101,0,0,0
701,101,0,0,0
702,424,37,34,2
703,101,0,0,0
704,577,64,51,0
705,121,1,3,0
706,101,0,0,0
707,101,57,10,0
708,101,0,1,0
710,101,0,0,0
711,101,0,0,0
713,6,3,0,0
714,101,0,0,0
715,101,0,0,0
716,1,4,0,0
717,101,0,0,0
718,101,1,0,0
719,101,0,0,0
720,101,0,0,0
721,121,3,7,0
722,113,1,1,0
723,101,0,0,0
724,101,1,0,0
725,101,0,0,0
726,185,9,24,0
727,101,1,0,0
728,101,0,0,0
729,136,10,1,0
732,151,9,1,0
733,101,2,0,0
734,101,8,1,0
735,101,0,4,0
736,101,1,0,0
737,93,3,1,0
738,131,8,6,0
739,106,9,2,0
740,305,92,41,2
741,262,20,6,0
742,101,0,0,0
743,235,13,26,0
744,101,1,0,0
745,101,1,0,0
746,101,0,2,0
747,143,4,3,0
748,101,0,0,0
749,292,35,6,0
751,101,0,0,0
753,101,34,3,0
754,101,0,0,0
755,101,0,0,0
760,168,13,13,0
762,48,7,1,0
764,101,0,1,0
765,86,11,0,0
767,66,9,1,0
768,101,7,1,0
770,139,13,61,0
771,101,1,0,0
772,101,1,0,0
774,101,0,1,0
775,436,24,5,0
776,1895,312,225,1
777,101,0,0,0
778,311,36,49,0
779,103,0,1,1
780,101,0,1,0
781,566,78,9,1
782,141,0,5,0
785,101,1,0,0
786,101,1,0,0
787,111,3,2,0
789,151,11,2,0
791,123,8,20,0
793,101,0,0,0
795,5606,967,1547,8
797,101,1,0,0
798,101,0,1,0
799,103,7,0,0
800,244,18,15,0
801,111,6,3,0
802,101,2,0,0
803,118,13,0,0
805,65272,5680,7035,143
806,111,3,0,0
807,123,5,14,0
808,101,8,27,0
809,116,6,0,0
812,628,98,215,2
813,101,0,2,0
814,101,0,0,0
816,101,0,0,0
819,101,0,0,0
821,101,1,0,0
822,101,0,0,0
823,101,1,0,0
825,138,7,1,0
826,101,0,0,0
827,262,22,6,0
828,101,0,0,0
829,101,0,0,0
830,830,174,148,0
831,101,1,0,0
833,21,0,0,0
834,136,45,8,0
835,176,12,36,0
836,101,2,0,0
838,101,0,6,0
839,101,1,0,0
840,259,63,19,1
842,101,5,24,0
844,101,1,0,0
845,597,46,22,0
846,101,3,0,0
847,591,67,15,0
850,193,9,10,0
851,1075,77,11,1
852,21,7,0,0
855,101,2,0,0
856,51,1,0,0
857,101,6,0,0
858,2834,434,333,24
861,130,12,2,0
862,531,90,2,0
865,101,1,0,0
866,1,3,0,0
867,11,1,0,0
869,131,3,1,0
870,257,13,7,0
871,101,2,3,0
872,128,5,5,0
873,451,27,0,0
876,123,8,4,0
877,101,8,1,0
878,101,4,0,0
879,101,0,2,0
880,88,7,0,0
881,1118,62,6,2
882,101,6,5,0
884,101,3,0,0
887,18187,1660,230,4
888,315,21,8,0
890,155,66,23,0
891,101,14,0,0
892,2772,207,167,2
894,101,0,0,0
899,101,0,0,0
900,1054,87,221,0
901,101,2,11,0
902,101,0,0,0
903,128,14,4,0
906,101,2,0,0
909,171,4,3,0
911,101,0,0,0
912,101,0,0,0
913,262,27,3,0
914,159,16,7,0
919,87393,20932,11273,779
923,101,1,0,0
926,101,0,0,0
927,21,1,0,0
928,101,0,0,0
929,101,0,0,0
930,31170,5529,10523,214
931,101,1,0,0
932,101,0,0,0
933,118,0,7,0
934,101,0,0,0
935,101,0,0,0
937,115,1,2,0
938,171,15,7,0
939,131,0,0,0
940,101,1,0,0
941,101,0,0,0
942,151,4,0,0
944,126,6,2,0
945,123,9,19,0
948,101,0,1,0
952,14,2,0,0
954,101,2,0,0
955,101,0,0,0
956,218,14,47,1
957,135,35,1,0
959,326,19,1,0
960,101,0,0,0
961,620,73,86,3
962,43,13,1,0
963,101,0,0,0
966,1290,137,244,0
968,108,3,10,0
970,101,1,0,0
971,101,0,0,0
972,150,9,5,1
973,101,3,3,0
976,239,20,63,0
977,423,65,13,0
978,101,0,1,0
979,261,31,12,0
980,101,1,0,0
981,101,1,0,0
982,101,2,2,0
983,101,0,0,0
985,101,15,2,0
986,148,8,3,0
988,168,61,31,0
989,101,2,0,0
990,147,46,11,0
991,143,5,1,0
993,28,1,3,0
994,323,65,9,1
995,196,10,4,0
996,364,68,10,0
997,198,25,0,0
998,101,0,0,0
1000,101,2,1,0
1001,111,2,2,0
1004,136,6,2,0
1005,3679,870,325,0
1007,444,264,8,0
1010,101,1,0,0
1011,191,9,0,0
1013,96,18,0,0
1014,101,0,0,0
1015,101,1,0,0
1016,111,1,8,0
1017,101,2,13,0
1019,119,6,10,0
1021,167,4,29,0
1024,58,12,0,0
1025,136,4,0,0
1026,167,10,8,0
1027,156,2,4,0
1028,360,45,30,2
1029,28,2,0,0
1030,101,2,0,0
1032,101,4,2,0
1033,130,8,0,1
1034,26,4,0,0
1035,106,6,2,0
1036,8236,1305,11442,43
1040,101,2,0,0
1041,101,0,0,0
1043,55,37,2,0
1047,31,0,2,0
1048,468,135,28,0
1049,106,6,0,0
1050,478,53,39,2
1053,101,0,0,0
1054,131,5,0,0
1056,21,2,0,0
1059,101,0,7,0
1063,101,0,0,0
1064,101,0,1,0
1065,111,7,6,0
1066,101,10,0,0
1068,31,4,0,0
1069,101,0,0,0
1072,126,6,0,0
1073,101,3,0,0
1074,101,1,2,0
1075,213,28,26,1
1076,101,4,18,0
1077,444,222,50,0
1079,192,33,8,0
1080,1597,188,81,1
1082,106,11,5,0
1083,101,0,1,0
1084,276,45,42,1
1085,101,2,0,0
1087,101,1,0,0
1088,38,4,6,0
1090,93,16,0,0
1091,39,10,1,0
1092,101,1,0,0
1094,23,5,0,0
1098,305,48,69,0
1099,1,0,0,0
1100,101,1,0,0
1101,101,5,4,0
1102,329,55,15,0
1103,101,1,1,0
1104,100,0,10,1
1105,296,7,1,0
1106,2410,140,202,2
1107,506,87,35,1
1108,3555,386,347,1
1109,101,0,0,0
1110,101,1,0,0
1112,326,36,24,0
1113,101,1,0,0
1114,121,9,1,0
1115,101,0,0,0
1117,195,9,6,0
1118,935,278,88,2
1119,678,28,10,0
1120,113,5,1,0
1121,130,10,6,0
1122,1544,196,0,0
1123,101,0,0,0
1124,3000,456,140,7
1125,101,0,0,0
1126,299,30,9,2
1127,148,25,0,0
1130,101,1,0,0
1131,101,0,0,0
1133,3,2,0,0
1134,93,31,1,0
1135,116,4,0,0
1136,101,1,0,0
1137,173,4,0,0
1138,169,5,15,0
1141,148,11,2,0
1142,100,48,1,1
1144,246,95,30,0
1146,1086,189,73,6
1147,101,1,2,0
1148,66,82,4,0
1149,101,0,1,0
1150,585,56,25,0
1151,101,6,1,0
1152,101,1,0,0
1153,1,1,0,0
1154,386,137,252,3
1156,101,0,0,0
1157,138,39,10,0
1158,33,5,1,0
1160,101,0,0,0
1161,101,0,0,0
1162,101,1,0,0
1163,301,43,2,0
1164,101,3,2,0
1166,101,4,1,0
1167,16,5,0,0
1169,101,1,0,0
1170,101,0,1,0
1173,101,1,0,0
1178,101,0,0,0
1179,101,1,1,0
1180,101,0,1,0
1181,101,0,0,0
1182,101,2,2,0
1183,101,0,0,0
1185,16,10,0,0
1186,101,0,0,0
1187,101,2,0,0
1189,78,5,3,0
1190,101,6,2,0
1191,2768,93,260,1
1192,101,0,2,0
1194,103,0,2,0
1195,442,34,13,0
1197,108,13,0,0
1200,101,1,0,0
1201,111,10,1,0
1202,101,1,0,0
1204,151,3,0,0
1205,212,34,11,0
1208,148,6,2,0
1210,158,26,5,1
1211,101,0,0,0
1212,187,28,23,0
1215,339,40,18,0
1216,175,22,0,0
1219,353,54,13,2
1220,68,7,17,0
1224,437,39,5,0
1225,111,3,2,0
1226,101,1,0,0
1227,170,13,1,0
1229,526,34,11,0
1234,101,0,0,0
1238,101,0,0,0
1239,101,0,0,0
1242,101,1,0,0
1244,101,0,0,0
1246,101,7,1,0
1247,158,8,7,0
1248,173,25,2,0
1249,101,0,0,0
1250,559,47,17,0
1251,55,31,8,0
1252,101,1,0,0
1253,51,2,2,0
1255,101,1,1,0
1256,111,3,2,0
1259,128,14,4,0
1260,153,1,0,0
1261,188,22,3,0
1262,101,0,0,0
1265,451,110,19,0
1266,186,12,0,0
1267,121,10,2,0
1268,101,7,1,0
1269,101,1,4,0
1270,639,83,42,0
1271,101,1,0,0
1272,21,1,0,0
1273,101,33,0,0
1276,101,0,1,0
1277,1,1,0,0
1279,26,19,0,0
1280,101,1,0,0
1282,101,0,0,0
1283,31,7,0,0
1284,21,2,0,0
1287,133,6,1,0
1290,38,30,2,0
1291,303,214,15,0
1292,101,2,0,0
1293,101,0,0,0
1294,101,0,0,0
1295,101,0,0,0
1296,101,0,0,0
1297,101,0,0,0
1298,101,0,0,0
1299,101,2,0,0
1300,101,0,1,0
1302,101,0,0,0
1303,11,2,0,0
1305,101,1,0,0
1306,101,0,0,0
1307,4128,5025,600,10
1308,101,1,0,0
1309,101,0,0,0
1311,101,1,0,0
1312,101,0,4,0
1313,141,3,1,0
1314,76,6,3,0
1315,101,3,0,0
1316,178,18,2,0
1318,101,1,1,0
1319,101,2,1,0
1320,330,67,73,0
1321,101,1,5,0
1322,101,0,0,0
1323,101,1,14,0
1324,36,3,0,0
1327,179,26,147,0
1328,101,0,0,0
1329,1665,335,91,5
1330,106,2,0,0
1331,101,0,0,0
1334,81,6,0,0
1336,31,1,0,0
1342,106,7,0,0
1343,101,58,0,0
1344,101,3,3,0
1345,101,2,2,0
1346,101,0,0,0
1347,1775,126,58,0
1349,173,36,23,0
1351,572,171,185,0
1352,5859,783,595,7
1354,106,2,0,0
1355,286,26,23,0
1356,745,129,115,1
1357,101,1,3,0
1358,1,0,0,0
1364,163,9,0,0
1366,31,3,0,0
1367,101,0,0,0
1368,101,10,2,0
1371,202,74,15,0
1375,101,0,23,0
1376,101,6,0,0
1377,101,2,1,0
1378,327,29,35,0
1380,101,1,34,0
1381,3533,299,910,34
1384,101,0,1,0
1387,126,8,0,0
1389,262,41,5,0
1390,10476,1165,602,34
1392,110,22,6,0
1393,182,72,9,5
1395,172,34,1,0
1396,46,1,0,0
1397,258,17,2,0
1398,101,0,0,0
1399,101,1,1,0
1400,101,0,0,0
1402,101,0,0,0
1403,101,14,0,0
1409,101,0,0,0
1410,16,1,0,0
1411,165,5,3,0
1413,101,0,2,0
1414,139,2,0,0
1416,101,0,0,0
1417,51,3,1,0
1419,101,0,1,0
1421,208,10,4,0
1422,270,20,8,0
1423,101,1,0,0
1424,51,1,0,0
1426,101,1,1,0
1434,299,55,18,0
1435,111,16,0,0
1436,443,22,1,0
1437,101,0,1,0
1439,133,26,0,0
1440,101,0,0,0
1441,31,4,0,0
1442,101,0,0,0
1443,672,91,149,0
1445,278,33,41,0
1446,1,3,0,0
1448,111,1,5,0
1451,193,23,4,0
1455,101,1,0,0
1456,265,36,8,0
1457,101,1,0,0
1458,108,26,22,0
1459,143,11,0,0
1460,101,1,0,0
1462,101,0,0,0
1463,123,3,12,0
1464,21,1,0,0
1465,101,0,4,0
1466,114,10,19,1
1467,101,0,0,0
1468,101,0,0,0
1472,101,0,0,0
1474,118,3,6,0
1475,347,12,10,2
1479,41,6,0,0
1480,101,0,0,0
1483,101,1,2,0
1486,101,0,0,0
1487,101,0,0,0
1488,101,2,0,0
1489,141,2,0,0
1490,198,16,1,0
1493,101,0,0,0
1494,101,3,0,0
1495,111,11,0,0
1496,559,114,49,0
1497,131,3,2,0
1498,101,0,0,0
1499,1282,146,189,1
1500,101,0,0,0
1501,181,15,0,0
1503,6,0,0,0
1504,73,5,1,0
1505,121,3,0,0
1508,101,6,0,0
1510,101,0,0,0
1512,148,27,3,0
1513,809,84,12,3
1514,111,22,3,0
1515,232,29,24,0
1516,128,5,1,0
1517,101,3,1,0
1518,101,0,12,0
1520,153,3,2,0
1522,118,4,0,0
1524,101,2,0,0
1525,101,2,0,0
1526,21,13,1,0
1531,234,26,2,0
1533,101,3,3,0
1537,288,30,10,1
1538,370,25,37,0
1539,111,3,0,0
1540,1794,129,70,4
1542,148,36,38,0
1543,101,5,6,0
1545,48,5,1,0
1548,101,0,3,0
1549,1067,93,7,8
1553,156,0,5,0
1555,101,1,0,0
1558,95,6,1,0
1560,101,0,2,0
1563,101,0,0,0
1564,122,19,5,0
1566,355,23,10,0
1569,3015,188,151,2
1571,101,0,3,0
1573,673,162,26,0
1574,118,3,0,0
1576,101,0,2,0
1577,101,4,39,0
1578,101,0,0,0
1580,101,2,1,0
1582,101,0,0,0
1583,352,55,12,4
1585,198,31,0,0
1586,139,7,32,0
1590,101,0,0,0
1591,101,8,32,0
1592,101,0,3,0
1595,106,0,1,0
1596,101,0,0,0
1598,13,2,0,0
1599,101,0,0,0
1600,56,1,1,0
1603,26,9,0,0
1607,131,2,0,0
1609,21,6,0,0
1611,155,7,18,0
1612,101,0,0,0
1614,37,19,29,0
1615,6,1,0,0
1616,101,0,3,0
1618,204,44,17,0
1620,238,1,4,0
1622,101,3,0,0
1623,156,9,3,0
1626,21,2,0,0
1627,66,6,0,0
1629,101,3,0,0
1633,101,1,0,0
1636,362,45,12,0
1637,72,13,0,0
1640,290,31,24,1
1641,18,3,1,0
1643,615,122,195,0
1644,101,0,0,0
1645,83,18,6,0
1647,21,11,0,0
1649,6,6,0,0
1654,101,0,0,0
1655,126,3,0,0
1657,1058,204,44,6
1658,101,9,29,0
1659,101,0,0,0
1660,1,0,0,0
1663,147,46,5,0
1666,11,2,0,0
1667,101,1,0,0
1670,1589,209,35,0
1673,101,5,2,0
1675,101,1,0,0
1678,101,0,8,0
1679,3536,382,164,8
1680,11,3,0,0
1681,133,12,2,0
1683,106,3,1,0
1686,101,0,1,0
1689,82,37,19,0
1691,101,2,1,0
1692,101,0,0,0
1694,176,5,0,0
1698,1,2,0,0
1699,58,20,1,0
1700,108,3,1,0
1701,101,0,0,0
1704,31,4,0,0
1706,124,33,0,0
1709,1094,230,160,5
1716,176,16,1,0
1720,441,65,38,0
1723,1,2,0,0
1724,123,11,14,0
1725,73,17,7,0
1727,61,7,0,0
1730,101,1,1,0
1731,101,0,0,0
1735,106,22,7,0
1737,459,38,32,0
1739,8772,881,154,8
1742,101,0,0,0
1746,111,8,0,0
1747,101,1,2,0
1749,101,2,0,0
1750,106,17,3,0
1751,101,0,0,0
1752,126,1,0,0
1753,101,0,0,0
1755,101,0,0,0
1756,171,10,16,1
1758,101,1,0,0
1760,335,7,8,0
1761,101,3,0,0
1762,197,18,2,0
1763,592,212,19,0
1764,7461,764,1264,8
1765,481,29,213,1
1766,238,36,60,0
1770,101,1,0,0
1771,101,0,1,0
1773,101,1,0,0
1775,101,0,0,0
1777,185,11,0,0
1782,101,1,5,0
1783,101,4,0,0
1784,41,2,0,0
1785,118,23,6,0
1786,128,20,5,0
1789,197,4,0,0
1790,101,0,0,0
1791,101,1,0,0
1793,158,18,8,0
1794,101,9,5,0
1795,352,40,5,1
1802,101,0,0,0
1803,178,2,5,0
1806,36,1,1,0
1807,101,1,0,0
1808,768,287,3,0
1809,51,20,0,0
1810,118,5,3,0
1812,101,2,1,0
1813,101,0,0,0
1815,256,25,12,0
1816,101,0,0,0
1818,425,54,18,1
1820,111,8,7,0
1821,101,0,2,0
1822,1,0,0,0
1823,101,2,0,0
1827,101,1,0,0
1829,123,34,7,0
1831,133,72,4,0
1832,101,0,4,0
1833,231,45,8,0
1834,221,34,32,0
1835,31,4,1,0
1837,101,1,0,0
1840,101,2,0,0
1841,16,5,0,0
1843,101,0,0,0
1844,101,1,0,0
1845,116,0,0,0
1846,101,1,0,0
1847,101,0,0,0
1849,1,0,0,0
1850,101,3,0,0
1853,101,7,0,0
1855,101,2,0,0
1856,31,4,0,0
1858,101,0,0,0
1859,101,1,0,0
1860,21,12,6,0
1861,101,2,1,0
1862,72,22,3,0
1864,101,0,0,0
1866,1,0,0,0
1867,101,0,0,0
1870,101,1,1,0
1871,422,34,36,0
1873,51,14,0,0
1874,11,0,0,0
1875,101,0,0,0
1876,76,3,33,0
1877,101,0,2,0
1878,101,1,0,0
1879,101,0,0,0
1882,101,1,0,0
1883,101,1,0,0
1884,101,0,0,0
1886,24,5,0,0
1887,38,31,7,0
1888,101,0,0,0
1889,101,0,0,0
1890,101,0,0,0
1891,101,0,0,0
1893,1077,77,42,2
1894,269,40,5,0
1895,101,4,13,0
1896,61,8,0,0
1898,101,1,0,0
1901,126,20,3,0
1902,101,0,0,0
1903,101,0,0,0
1904,101,0,0,0
1906,101,1,15,0
1907,101,0,0,0
1908,101,0,2,0
1909,6524,681,150,6
1910,101,0,0,0
1913,1175,98,65,0
1915,103,4,50,0
1916,376,11,6,0
1917,101,0,0,0
1918,101,3,0,0
1922,148,6,0,0
1924,101,0,0,0
1926,101,0,0,0
1929,133,8,3,0
1931,101,0,0,0
1934,4957,578,329,11
1935,111,6,35,0
1936,101,1,0,0
1937,101,0,0,0
1938,128,7,5,0
1939,151,33,11,0
1944,113,6,3,0
1945,674,191,7,0
1947,101,0,0,0
1949,101,1,0,0
1950,345,73,7,0
1951,179,17,6,0
1956,101,1,0,0
1957,1,2,0,0
1959,118,8,1,0
1961,119,6,0,0
1962,101,1,0,0
1963,165,40,5,0
1965,240,20,26,0
1966,137,14,0,0
1967,101,3,0,0
1968,101,0,0,0
1969,1,0,0,0
1970,75,16,20,0
1971,51,6,0,0
1972,101,0,0,0
1973,387,74,18,0
1974,101,1,0,0
1976,101,2,0,0
1977,830,124,111,0
1978,101,3,0,0
1979,1588,141,66,7
1983,101,9,15,0
1985,101,0,0,0
