,userId,Reputation,Views,UpVotes,DownVotes,PostTypeId,Score,ViewCount,CommentCount,Outlier
574,830,830,174,148,0,2,3,0,2,Reputation
582,840,259,63,19,1,2,1,0,0,Reputation
585,845,597,46,22,0,2,5,0,4,Reputation
587,847,591,67,15,0,1,0,123,3,Reputation
589,851,1075,77,11,1,2,4,0,0,Reputation
594,858,2834,434,333,24,2,1,0,2,Reputation
596,862,531,90,2,0,2,16,0,4,Reputation
601,870,257,13,7,0,1,13,14181,4,Reputation
604,873,451,27,0,0,2,1,0,0,Reputation
610,881,1118,62,6,2,1,5,264,0,Reputation
613,887,18187,1660,230,4,1,3,723,1,Reputation
617,900,1054,87,221,0,2,1,0,0,Reputation
624,913,262,27,3,0,1,3,600,2,Reputation
626,919,87393,20932,11273,779,2,1,0,0,Reputation
631,930,31170,5529,10523,214,2,1,0,2,Reputation
651,959,326,19,1,0,2,2,0,0,Reputation
653,961,620,73,86,3,1,10,1991,0,Reputation
656,966,1290,137,244,0,2,2,0,2,Reputation
662,977,423,65,13,0,1,2,373,0,Reputation
672,994,323,65,9,1,2,6,0,0,Reputation
674,996,364,68,10,0,2,13,0,0,Reputation
680,1005,3679,870,325,0,2,10,0,1,Reputation
693,1028,360,45,30,2,1,10,3899,0,Reputation
699,1036,8236,1305,11442,43,2,14,0,2,Reputation
704,1048,468,135,28,0,2,8,0,2,Reputation
706,1050,478,53,39,2,2,9,0,3,Reputation
721,1080,1597,188,81,1,2,1,0,0,Reputation
724,1084,276,45,42,1,1,4,667,0,Reputation
731,1098,305,48,69,0,2,3,0,1,Reputation
735,1102,329,55,15,0,2,0,0,2,Reputation
738,1106,2410,140,202,2,2,4,0,0,Reputation
739,1107,506,87,35,1,2,1,0,0,Reputation
740,1108,3555,386,347,1,2,4,0,0,Reputation
743,1112,326,36,24,0,1,11,5715,9,Reputation
748,1118,935,278,88,2,2,0,0,3,Reputation
749,1119,678,28,10,0,2,2,0,0,Reputation
752,1122,1544,196,0,0,2,5,0,0,Reputation
754,1124,3000,456,140,7,2,0,0,0,Reputation
756,1126,299,30,9,2,1,10,387,5,Reputation
769,1146,1086,189,73,6,2,3,0,1,Reputation
773,1150,585,56,25,0,2,36,0,3,Reputation
777,1154,386,137,252,3,2,9,0,0,Reputation
800,1191,2768,93,260,1,2,1,0,0,Reputation
803,1195,442,34,13,0,1,5,237,1,Reputation
813,1215,339,40,18,0,1,2,139,0,Reputation
815,1219,353,54,13,2,2,8,0,0,Reputation
817,1224,437,39,5,0,1,2,153,3,Reputation
820,1229,526,34,11,0,2,3,0,0,Reputation
837,1265,451,110,19,0,2,2,0,1,Reputation
841,1270,639,83,42,0,1,3,426,0,Reputation
854,1291,303,214,15,0,2,11,0,5,Reputation
866,1307,4128,5025,600,10,2,2,0,0,Reputation
876,1320,330,67,73,0,2,3,0,0,Reputation
891,1347,1775,126,58,0,2,10,0,0,Reputation
893,1351,572,171,185,0,2,5,0,0,Reputation
894,1352,5859,783,595,7,1,10,864,0,Reputation
896,1355,286,26,23,0,1,5,324,7,Reputation
897,1356,745,129,115,1,2,51,0,2,Reputation
908,1378,327,29,35,0,1,8,219,2,Reputation
910,1381,3533,299,910,34,2,4,0,0,Reputation
913,1389,262,41,5,0,1,4,1387,0,Reputation
914,1390,10476,1165,602,34,2,4,0,2,Reputation
919,1397,258,17,2,0,2,2,0,1,Reputation
936,1434,299,55,18,0,2,3,0,1,Reputation
938,1436,443,22,1,0,2,29,0,0,Reputation
944,1443,672,91,149,0,2,6,0,2,Reputation
945,1445,278,33,41,0,2,4,0,0,Reputation
950,1456,265,36,8,0,2,8,0,4,Reputation
964,1475,347,12,10,2,1,13,2537,0,Reputation
976,1496,559,114,49,0,2,11,0,0,Reputation
979,1499,1282,146,189,1,2,3,0,2,Reputation
988,1513,809,84,12,3,2,1,0,0,Reputation
1001,1537,288,30,10,1,2,7,0,3,Reputation
1002,1538,370,25,37,0,1,13,1029,2,Reputation
1004,1540,1794,129,70,4,1,4,4100,0,Reputation
1009,1549,1067,93,7,8,2,2,0,0,Reputation
1016,1566,355,23,10,0,2,2,0,0,Reputation
1017,1569,3015,188,151,2,2,5,0,4,Reputation
1019,1573,673,162,26,0,2,4,0,8,Reputation
1024,1583,352,55,12,4,1,3,357,0,Reputation
1049,1636,362,45,12,0,2,3,0,2,Reputation
1052,1643,615,122,195,0,2,8,0,3,Reputation
1059,1657,1058,204,44,6,2,4,0,0,Reputation
1066,1670,1589,209,35,0,2,1,0,0,Reputation
1070,1679,3536,382,164,8,2,0,0,0,Reputation
1084,1709,1094,230,160,5,1,4,858,5,Reputation
1086,1720,441,65,38,0,2,7,0,4,Reputation
1094,1737,459,38,32,0,1,10,2923,1,Reputation
1095,1739,8772,881,154,8,2,10,0,2,Reputation
1106,1760,335,7,8,0,2,36,0,0,Reputation
1109,1763,592,212,19,0,2,16,0,7,Reputation
1110,1764,7461,764,1264,8,1,17,1101,6,Reputation
1111,1765,481,29,213,1,2,8,0,0,Reputation
1125,1795,352,40,5,1,2,18,0,2,Reputation
1133,1815,256,25,12,0,1,21,5593,4,Reputation
1135,1818,425,54,18,1,1,11,11533,0,Reputation
1168,1871,422,34,36,0,2,3,0,2,Reputation
1184,1893,1077,77,42,2,2,10,0,0,Reputation
1185,1894,269,40,5,0,2,7,0,0,Reputation
1196,1909,6524,681,150,6,2,6,0,2,Reputation
1198,1913,1175,98,65,0,2,5,0,0,Reputation
1200,1916,376,11,6,0,2,3,0,2,Reputation
1208,1934,4957,578,329,11,2,1,0,1,Reputation
1215,1945,674,191,7,0,2,6,0,2,Reputation
1218,1950,345,73,7,0,2,2,0,0,Reputation
1234,1973,387,74,18,0,2,2,0,0,Reputation
1237,1977,830,124,111,0,2,3,0,0,Reputation
1239,1979,1588,141,66,7,2,7,0,0,Reputation
1244,1991,668,120,68,1,2,2,0,3,Reputation
1261,2020,565,80,81,0,2,2,0,0,Reputation
1268,2036,301,65,105,1,2,7,0,9,Reputation
1271,2040,790,428,262,12,2,9,0,0,Reputation
1274,2044,258,15,21,0,2,52,0,0,Reputation
1275,2046,268,29,24,0,2,6,0,0,Reputation
1285,2067,315,78,68,0,1,12,1787,6,Reputation
1289,2073,756,53,110,0,2,2,0,5,Reputation
1290,2074,1239,124,2,0,2,8,0,1,Reputation
1300,2091,631,67,10,0,1,3,933,0,Reputation
1312,2111,915,44,71,7,1,7,990,4,Reputation
1314,2116,18088,3899,3274,43,1,8,5803,0,Reputation
1318,2126,4536,798,642,5,2,4,0,1,Reputation
1320,2129,3375,276,92,5,2,15,0,1,Reputation
1330,2144,471,23,4,0,2,2,0,0,Reputation
1334,2148,450,54,6,0,2,2,0,0,Reputation
1336,2150,1969,196,62,0,2,17,0,4,Reputation
1342,2166,397,21,4,0,2,4,0,0,Reputation
1375,2221,283,22,2,0,2,3,0,3,Reputation
1393,2252,457,34,83,1,2,4,0,0,Reputation
1395,2260,287,7,60,0,2,1,0,2,Reputation
1402,2280,276,14,1,0,2,4,0,4,Reputation
1413,2310,3016,2342,220,2,2,1,0,0,Reputation
1458,2392,11860,2359,883,7,2,4,0,3,Reputation
1464,2403,378,29,5,0,2,1,0,0,Reputation
1466,2407,348,28,2,0,2,2,0,0,Reputation
1475,2425,1230,238,51,3,2,7,0,0,Reputation
1488,2456,376,40,18,0,2,16,0,4,Reputation
1508,2513,399,63,68,0,1,6,1430,3,Reputation
1515,2526,356,54,2,0,2,-1,0,1,Reputation
1522,2539,521,18,1,0,2,3,0,10,Reputation
1526,2546,949,77,17,3,2,18,0,1,Reputation
1553,2591,266,6,0,0,1,7,2988,1,Reputation
1554,2592,802,323,9,20,1,3,1916,2,Reputation
1580,2635,393,75,38,1,1,3,3271,4,Reputation
1585,2645,3561,585,613,0,2,28,0,2,Reputation
1592,2658,523,21,6,0,2,2,0,0,Reputation
1594,2660,485,113,54,2,2,1,0,2,Reputation
1597,2665,279,39,10,0,2,11,0,0,Reputation
1621,2714,501,56,74,1,2,0,0,0,Reputation
1623,2719,1273,146,439,0,2,16,0,7,Reputation
1627,2728,926,67,7,0,1,4,1259,0,Reputation
1640,2750,821,101,187,3,2,7,0,0,Reputation
1651,2772,287,25,17,0,1,15,1544,5,Reputation
1652,2773,485,76,11,4,2,6,0,0,Reputation
1654,2775,2430,155,156,2,2,2,0,3,Reputation
1669,2798,1942,189,366,2,2,3,0,0,Reputation
1682,2817,9604,1244,1437,8,2,1,0,1,Reputation
1684,2820,307,14,12,0,2,1,0,4,Reputation
1686,2824,306,28,26,0,1,13,1590,0,Reputation
1691,2833,281,25,8,2,2,7,0,4,Reputation
1700,2849,576,76,18,0,1,3,585,5,Reputation
1707,2860,3359,467,134,7,1,3,1001,0,Reputation
1722,2898,1102,105,60,2,2,2,0,0,Reputation
1733,2912,263,83,107,0,2,1,0,0,Reputation
1737,2917,308,8,17,0,1,10,1436,2,Reputation
1740,2921,1177,153,804,48,2,7,0,0,Reputation
1748,2942,295,27,16,0,2,6,0,1,Reputation
1754,2956,364,61,27,0,1,17,439,0,Reputation
1755,2958,10470,655,210,6,1,2,541,2,Reputation
1760,2965,420,33,33,2,2,1,0,0,Reputation
1762,2970,13647,5441,2468,212,2,2,0,2,Reputation
1764,2973,493,27,17,0,2,1,0,0,Reputation
1766,2975,531,27,10,1,1,5,1153,2,Reputation
1769,2981,1091,84,915,1,1,6,1227,0,Reputation
1782,3014,345,126,34,1,5,0,0,0,Reputation
1786,3019,8045,500,228,57,4,0,0,0,Reputation
1787,3025,254,21,26,0,2,3,0,0,Reputation
1788,3026,844,43,1,0,2,2,0,0,Reputation
1806,3058,1123,117,124,1,2,1,0,6,Reputation
1816,3077,357,73,58,1,2,2,0,0,Reputation
1828,3098,282,20,8,0,2,1,0,0,Reputation
1840,3125,582,56,3,0,2,3,0,10,Reputation
1848,3140,259,69,31,2,1,2,2884,1,Reputation
1877,3203,377,6,0,0,2,2,0,0,Reputation
1879,3205,261,13,2,0,2,5,0,3,Reputation
1906,3248,473,1055,48,0,2,10,0,2,Reputation
1917,3262,2090,202,42,7,1,23,2923,0,Reputation
1920,3265,764,84,61,0,2,6,0,0,Reputation
1923,3269,761,56,15,0,2,3,0,0,Reputation
1929,3277,13898,2866,869,12,2,2,0,0,Reputation
1930,3280,287,22,7,0,2,3,0,0,Reputation
1938,3293,644,53,116,11,2,4,0,4,Reputation
1945,3301,533,44,12,0,2,1,0,0,Reputation
1948,3306,277,16,19,0,2,2,0,0,Reputation
1950,3309,416,32,100,0,1,3,272,0,Reputation
1951,3310,735,98,69,0,2,5,0,1,Reputation
1962,3330,324,15,20,1,2,4,0,0,Reputation
1963,3331,1068,67,30,1,1,25,3894,6,Reputation
1982,3369,1162,146,25,0,1,0,571,0,Reputation
1986,3376,929,86,41,2,2,19,0,3,Reputation
1990,3382,8009,3559,183,24,2,1,0,2,Reputation
1997,3396,696,30,12,0,2,4,0,6,Reputation
2003,3411,703,248,34,4,2,8,0,3,Reputation
2014,3432,995,82,79,0,2,6,0,2,Reputation
2022,3443,275,37,19,0,2,6,0,1,Reputation
2029,3454,457,75,66,3,2,5,0,2,Reputation
2036,3467,340,11,62,0,2,19,0,0,Reputation
2043,3488,1463,221,427,4,2,1,0,1,Reputation
2044,3489,737,122,51,2,1,5,3416,0,Reputation
2062,3525,909,75,39,6,2,8,0,1,Reputation
2072,3541,366,9,16,0,2,0,0,1,Reputation
2079,3552,270,45,4,0,1,4,447,0,Reputation
2087,3567,2951,309,88,4,2,9,0,1,Reputation
2089,3572,494,133,56,2,2,2,0,2,Reputation
2092,3577,688,23,19,0,2,4,0,0,Reputation
2094,3582,701,57,44,2,2,-1,0,10,Reputation
2103,3591,304,30,55,0,2,1,0,4,Reputation
2106,3595,913,653,2,0,1,20,7263,2,Reputation
2110,3601,3773,343,360,2,2,4,0,0,Reputation
2128,3640,549,68,135,2,1,6,2178,3,Reputation
2143,3671,429,57,7,0,2,3,0,2,Reputation
2158,3700,373,39,31,2,2,0,0,0,Reputation
2175,3732,398,16,14,0,2,4,0,3,Reputation
2184,3748,1391,589,237,7,2,2,0,0,Reputation
2201,3786,418,39,2,0,2,1,0,0,Reputation
2206,3794,705,97,90,25,2,0,0,6,Reputation
2215,3805,759,32,0,0,1,3,331,2,Reputation
2216,3807,367,67,34,1,2,2,0,1,Reputation
2226,3826,1460,390,1883,145,1,4,3530,0,Reputation
2232,3835,1329,119,157,1,1,3,75,0,Reputation
2256,3874,1525,262,49,0,1,11,5977,2,Reputation
2272,3903,476,181,363,1,2,1,0,0,Reputation
2274,3911,2481,456,337,7,1,21,1519,0,Reputation
2279,3919,857,98,61,0,2,1,0,0,Reputation
2309,3984,357,39,6,0,1,11,8456,0,Reputation
2345,4054,495,38,0,0,2,1,0,3,Reputation
2351,4062,282,63,5,0,1,9,3567,4,Reputation
2382,4110,597,44,43,0,2,2,0,0,Reputation
2404,4147,290,53,23,0,2,4,0,7,Reputation
2412,4164,613,66,125,2,2,2,0,1,Reputation
2421,4176,402,13,2,0,2,3,0,9,Reputation
2453,4238,365,25,22,0,1,4,152,0,Reputation
2461,4253,19585,6948,155,56,2,0,0,0,Reputation
2463,4257,6461,434,186,6,2,4,0,3,Reputation
2484,4290,517,64,40,0,2,6,0,0,Reputation
2513,4325,507,83,36,0,1,3,254,0,Reputation
2517,4329,546,38,2,0,2,5,0,1,Reputation
2523,4337,699,60,75,2,1,9,697,2,Reputation
2539,4360,404,62,68,0,1,8,707,0,Reputation
2549,4370,253,19,6,0,2,1,0,2,Reputation
2592,4426,1912,336,126,1,2,4,0,1,Reputation
2638,4479,1376,169,449,3,2,2,0,1,Reputation
2643,4485,881,61,492,17,1,4,660,0,Reputation
2651,4496,1015,190,2,0,1,2,696,1,Reputation
2658,4505,25123,1245,582,4,2,6,0,0,Reputation
2672,4521,275,16,66,1,2,0,0,2,Reputation
2681,4531,290,26,18,0,2,7,0,0,Reputation
2698,4552,361,20,0,0,2,16,0,5,Reputation
2705,4559,724,64,72,0,2,0,0,2,Reputation
2724,4581,405,36,18,0,2,6,0,0,Reputation
2738,4598,8814,516,314,11,2,1,0,6,Reputation
2799,4673,476,46,9,0,2,7,0,4,Reputation
2822,4701,408,90,12,0,2,2,0,3,Reputation
2848,4733,773,68,7,5,1,2,218,2,Reputation
2852,4737,829,110,115,15,1,4,3877,0,Reputation
2862,4751,334,85,103,0,2,1,0,0,Reputation
2865,4754,833,39,46,0,2,1,0,1,Reputation
2876,4769,596,47,17,0,2,2,0,0,Reputation
2896,4797,466,7,7,0,2,1,0,2,Reputation
2908,4810,330,104,3,0,1,11,4744,0,Reputation
2909,4812,2052,159,505,4,1,10,2033,3,Reputation
2915,4820,310,8,24,0,2,2,0,2,Reputation
2922,4829,637,32,146,1,2,0,0,0,Reputation
2935,4843,543,102,32,0,1,3,531,0,Reputation
2947,4856,17791,5927,2122,412,1,3,654,2,Reputation
2951,4862,3544,460,358,3,2,3,0,0,Reputation
2953,4864,377,55,25,0,2,2,0,3,Reputation
2958,4872,1183,140,157,15,1,3,248,4,Reputation
2967,4881,391,15,3,0,2,3,0,0,Reputation
2993,4908,328,36,73,6,1,5,248,5,Reputation
3001,4916,587,46,205,8,2,4,0,2,Reputation
3007,4925,308,11,73,0,2,5,0,0,Reputation
3064,5003,464,90,428,0,2,5,0,12,Reputation
3077,5020,929,82,17,0,2,28,0,1,Reputation
3081,5025,644,139,13,0,1,9,575,0,Reputation
3106,5055,669,74,89,11,2,3,0,1,Reputation
3152,5111,275,58,6,0,1,6,370,0,Reputation
3195,5172,356,21,7,0,1,4,1847,2,Reputation
3198,5176,742,175,28,1,2,5,0,4,Reputation
3200,5179,468,21,12,0,2,0,0,3,Reputation
3210,5191,583,286,57,0,1,2,73,3,Reputation
3245,5234,739,49,14,2,2,3,0,3,Reputation
3261,5256,1621,249,174,1,2,42,0,0,Reputation
3268,5264,911,88,75,1,2,0,0,0,Reputation
3282,5280,480,85,23,1,2,41,0,3,Reputation
3289,5289,708,75,32,5,2,7,0,7,Reputation
3295,5296,392,16,26,1,2,24,0,1,Reputation
3315,5321,510,38,47,0,1,4,2134,0,Reputation
3328,5339,1863,238,224,13,2,1,0,0,Reputation
3370,5387,435,20,23,0,1,14,4277,3,Reputation
3386,5404,263,30,15,0,2,2,0,0,Reputation
3387,5405,407,164,40,0,2,2,0,0,Reputation
3405,5429,1855,294,406,1,2,3,0,1,Reputation
3417,5443,310,27,15,0,1,3,544,2,Reputation
3436,5464,384,62,8,1,2,9,0,1,Reputation
3443,5471,439,73,38,0,2,6,0,2,Reputation
3451,5480,357,79,35,0,2,2,0,0,Reputation
3462,5494,814,46,68,18,2,3,0,1,Reputation
3471,5503,437,63,177,0,1,3,246,4,Reputation
3476,5509,1403,323,161,7,2,4,0,6,Reputation
3498,5539,267,34,16,0,2,2,0,0,Reputation
3501,5544,683,38,55,2,2,3,0,2,Reputation
3503,5546,482,70,4,0,2,1,0,0,Reputation
3516,5561,539,58,39,0,2,4,0,1,Reputation
3525,5573,371,75,72,4,1,5,410,2,Reputation
3541,5594,2091,233,2923,14,2,3,0,0,Reputation
3586,5654,421,96,1,0,1,8,879,2,Reputation
3617,5696,373,43,11,0,1,10,404,3,Reputation
3642,5729,414,67,15,5,2,2,0,2,Reputation
3650,5739,15236,2252,705,16,2,1,0,0,Reputation
3668,5764,446,77,20,0,2,3,0,0,Reputation
3693,5792,1053,166,0,0,1,3,758,0,Reputation
3694,5793,281,36,3,0,2,4,0,3,Reputation
3695,5795,452,58,152,0,2,1,0,1,Reputation
3717,5829,2452,199,242,4,2,0,0,0,Reputation
3719,5832,477,65,4,0,2,4,0,0,Reputation
3723,5836,11489,1319,683,18,1,7,636,5,Reputation
3724,5837,754,74,28,0,2,2,0,1,Reputation
3742,5862,4546,361,201,2,2,6,0,3,Reputation
3744,5864,549,105,40,1,2,1,0,1,Reputation
3759,5880,603,98,67,0,1,7,736,0,Reputation
3795,5927,306,7,3,0,1,2,307,5,Reputation
3809,5946,311,36,17,1,2,4,0,2,Reputation
3845,6000,1200,94,53,1,2,0,0,1,Reputation
3847,6003,295,18,7,0,2,2,0,0,Reputation
3853,6015,425,23,72,0,2,12,0,1,Reputation
3863,6029,5837,638,3481,40,2,2,0,0,Reputation
3881,6054,321,9,0,0,2,1,0,0,Reputation
3894,6072,365,73,13,3,2,9,0,0,Reputation
3900,6082,1815,265,106,3,2,4,0,3,Reputation
3907,6096,719,321,113,2,1,5,182,1,Reputation
3933,6129,951,94,99,0,2,1,0,3,Reputation
3962,6169,436,24,74,0,1,7,627,1,Reputation
3988,6206,307,22,57,2,1,6,2700,0,Reputation
4020,6248,1640,94,100,18,2,2,0,4,Reputation
4081,6329,624,44,91,0,1,6,1734,0,Reputation
4100,6355,292,39,3,0,1,2,648,1,Reputation
4114,6369,515,111,120,7,2,4,0,3,Reputation
4169,6434,467,48,11,0,2,1,0,0,Reputation
4176,6446,1396,117,93,0,2,7,0,2,Reputation
4200,6476,840,31,0,0,2,16,0,3,Reputation
4207,6484,658,16,4,0,1,2,573,7,Reputation
4212,6489,511,356,33,3,2,0,0,1,Reputation
4265,6552,1453,241,111,3,2,3,0,3,Reputation
4284,6575,354,58,28,1,1,5,341,0,Reputation
4285,6577,470,64,93,1,1,2,314,0,Reputation
4287,6579,506,55,298,0,1,3,697,0,Reputation
4333,6637,890,61,43,0,1,3,601,0,Reputation
4336,6640,741,171,36,1,1,1,434,0,Reputation
4344,6648,305,38,3,1,1,2,159,0,Reputation
4356,6664,300,11,26,0,1,7,1337,0,Reputation
4358,6666,941,104,22,0,2,4,0,8,Reputation
4402,6720,273,18,3,0,1,6,1066,1,Reputation
4405,6723,821,98,32,2,1,4,2873,5,Reputation
4407,6725,451,19,8,0,1,3,114,2,Reputation
4429,6750,267,52,36,1,2,3,0,1,Reputation
4442,6768,776,43,0,0,2,0,0,0,Reputation
4461,6793,573,59,66,1,2,2,0,0,Reputation
4494,6828,355,19,6,2,2,2,0,1,Reputation
4495,6829,318,63,0,0,2,4,0,0,Reputation
4509,6845,553,28,22,3,2,3,0,0,Reputation
4533,6875,276,50,8,0,2,1,0,0,Reputation
4535,6877,429,38,19,0,2,10,0,4,Reputation
4541,6884,592,83,148,0,2,4,0,2,Reputation
4554,6897,1178,334,454,27,1,5,502,0,Reputation
4568,6917,462,52,97,1,2,1,0,0,Reputation
4571,6920,1299,385,165,2,1,23,2914,1,Reputation
4579,6929,356,50,2,0,2,2,0,1,Reputation
