Id,TagName,Count,ExcerptPostId,WikiPostId
459,rule-of-thumb,21,NULL,NULL
460,gpu,4,NULL,NULL
461,parallel-computing,15,NULL,NULL
462,likelihood-ratio,128,68614,68613
463,kolmogorov-smirnov,153,40435,40434
465,autocorrelation,320,61881,61880
467,panel-data,331,65135,65134
469,multilevel-analysis,319,33488,33487
471,rating,45,NULL,NULL
473,non-independent,97,92319,92318
476,precision-recall,89,NULL,NULL
478,job,6,NULL,NULL
480,microarray,35,NULL,NULL
481,survey,357,28411,28410
486,clinical-trials,54,35793,35792
488,latent-class,27,NULL,NULL
489,independence,215,62169,62168
490,basic-concepts,158,NULL,NULL
491,business-intelligence,16,NULL,NULL
492,information-theory,111,33729,33728
493,discriminant-analysis,118,31987,31986
494,frailty,18,NULL,NULL
495,dimensionality-reduction,186,40433,40432
497,project-management,12,NULL,NULL
498,latent-variable,90,68627,68626
499,matrix,208,65588,65587
501,quantiles,144,38344,38343
505,nonlinear-regression,261,8946,8945
507,inference,300,41299,41298
508,eda,60,14115,14114
509,heteroscedasticity,249,28259,28258
510,contrasts,91,NULL,NULL
516,log-linear,32,90804,90803
517,cross-section,40,68750,68749
518,dice,41,63299,63298
523,correspondence-analysis,30,99291,99290
525,big-list,36,9210,9209
529,normal-distribution,1165,20486,20485
530,splus,5,80677,80676
531,instrumental-variables,81,68712,68711
532,mode,28,69052,69051
533,beta,40,40834,40833
534,histogram,154,40431,40430
537,empirical,44,NULL,NULL
538,excel,181,15654,15653
539,fractal,8,NULL,NULL
540,propensity-scores,42,15332,15331
541,large-data,154,55903,55902
546,biostatistics,155,63563,63562
550,genetics,105,64665,64664
551,referee,2,65511,65510
553,matplotlib,12,80776,80775
554,assumptions,201,28261,28260
556,multicore,3,NULL,NULL
557,tables,22,NULL,NULL
558,inter-rater,84,40523,40522
559,copula,60,62688,62687
560,jmp,24,65331,65330
562,dendrogram,21,79744,79743
563,boxplot,62,62404,62403
564,longitudinal,141,38880,38879
565,unbiased-estimator,119,28268,28267
567,updating,7,NULL,NULL
569,unsupervised-learning,105,58823,58822
571,yates-correction,5,NULL,NULL
572,barplot,21,63374,63373
574,quality-control,30,NULL,NULL
575,distance-functions,153,68621,68620
579,javascript,7,80774,80773
580,dataframe,29,63310,63309
585,c++,21,62885,62884
586,e1071,14,65323,65322
587,naive-bayes,158,86028,86027
589,random-generation,190,61386,61385
591,arima,380,28792,28791
592,intervention-analysis,36,28774,28773
594,gls,39,65337,65336
595,em-algorithm,24,62233,62232
596,prediction-limit,8,NULL,NULL
597,gibbs,91,62620,62619
599,failure,12,NULL,NULL
601,marginal,78,68824,68823
602,matrix-decomposition,70,NULL,NULL
603,svd,121,40438,40437
605,numerics,22,94287,94286
608,sql,15,80705,80704
616,graphical-model,138,NULL,NULL
617,manova,119,19849,19848
619,reinforcement-learning,26,90946,90945
620,recommender-system,106,66505,66504
621,optimization,429,28535,28534
622,stepwise-regression,74,65167,65166
623,lognormal,135,62166,62165
627,resources,11,NULL,NULL
628,fixed-effects-model,160,32711,32710
629,matrix-inverse,33,NULL,NULL
631,simulation,329,30438,30437
632,bugs,92,40521,40520
633,sign-test,10,NULL,NULL
634,wilcoxon,121,63406,63405
636,interaction,514,33484,33483
639,elastic-net,34,NULL,NULL
640,regularization,131,99598,99597
641,dlm,24,80780,80779
642,ggplot2,78,8362,8361
644,ranks,35,NULL,NULL
648,mgcv,25,65326,65325
652,history,39,18635,18634
653,calibration,33,70887,70886
656,descriptive-statistics,138,62322,62321
661,pls,44,93186,93185
663,rpart,44,28282,28281
667,error-propagation,60,68570,68569
668,spearman,74,62332,62331
669,bounds,49,NULL,NULL
672,shrinkage,29,NULL,NULL
673,optimal-stopping,10,NULL,NULL
675,resampling,91,65816,65815
676,extreme-value,72,35463,35462
685,bradley-terry-model,5,NULL,NULL
688,graph-theory,76,71183,71182
691,sums-of-squares,67,NULL,NULL
694,r-squared,170,47332,47331
697,split-plot,32,NULL,NULL
700,threshold,40,NULL,NULL
702,students-t,22,67080,67079
703,diagnostic,56,NULL,NULL
704,signal-detection,28,92489,92488
708,residuals,282,38342,38341
712,interactive-visualization,16,NULL,NULL
717,ranking,158,62160,62159
720,levenes-test,22,28278,28277
721,weighted-mean,63,62442,62441
722,deviance,40,67819,67818
725,odds,18,65328,65327
726,delta-method,32,10756,10755
730,weka,95,64374,64373
731,linear-model,473,28224,28223
732,trend,108,79086,79085
733,spatio-temporal,31,74031,74030
735,gnuplot,7,80778,80777
736,tukey-hsd,47,NULL,NULL
737,dirichlet-distribution,76,68540,68539
738,gamma-distribution,153,29148,29147
739,integral,47,NULL,NULL
740,mediation,70,65169,65168
741,moderator,9,NULL,NULL
742,multiple-regression,875,10273,10272
743,publication-bias,10,NULL,NULL
746,simpsons-paradox,11,NULL,NULL
748,white-noise,30,NULL,NULL
749,units,13,NULL,NULL
752,density-function,34,NULL,NULL
753,jags,123,29931,29930
754,fourier-transform,36,NULL,NULL
755,rotation,22,NULL,NULL
758,generative-models,22,NULL,NULL
759,nls,24,22111,22110
760,meta-regression,23,87546,87545
761,self-organizing-maps,29,NULL,NULL
762,stratification,46,NULL,NULL
764,errors-in-variables,14,79453,79452
765,web,22,NULL,NULL
769,lmer,267,28297,28296
770,state-space-models,40,NULL,NULL
771,chow-test,17,69108,69107
772,change-point,68,NULL,NULL
778,non-central,13,NULL,NULL
779,t-distribution,66,63090,63089
781,confounding,55,47317,47316
783,binning,36,63445,63444
785,average,151,41502,41501
786,non-response,17,NULL,NULL
787,max-margin,4,NULL,NULL
788,pivot,7,62936,62935
791,composite,37,NULL,NULL
793,zipf,11,NULL,NULL
796,churn,11,NULL,NULL
800,structural-change,27,NULL,NULL
801,functional-data-analysis,21,84223,84222
802,measurement-error,121,65145,65144
804,bias,170,40683,40682
805,ica,15,45196,45195
807,mixture,143,8842,8841
808,notation,86,50413,50412
809,kruskal-wallis,74,62406,62405
810,fisher,44,65209,65208
811,information,18,NULL,NULL
813,likert,225,30618,30617
816,pie-chart,10,NULL,NULL
820,granger-causality,39,68986,68985
823,decision-theory,64,NULL,NULL
825,gee,107,28241,28240
826,conjoint-analysis,17,57082,57081
827,function,36,NULL,NULL
828,matching,69,NULL,NULL
829,case-control-study,38,65339,65338
830,arma,129,40832,40831
831,rank-correlation,46,63426,63425
832,rapidminer,17,80782,80781
835,finite-population,33,NULL,NULL
839,lsa,31,25280,25279
840,index-decomposition,11,NULL,NULL
843,queueing,29,NULL,NULL
844,correlated-predictors,9,NULL,NULL
847,ab-test,52,21881,21880
849,interval-censoring,16,66321,66320
850,mathematica,16,9856,9855
851,profile-likelihood,16,NULL,NULL
854,scatterplot,70,62518,62517
855,importance,39,NULL,NULL
856,k-means,204,38517,38516
857,logrank,14,NULL,NULL
861,maximum-entropy,38,NULL,NULL
862,fuzzy-set,8,NULL,NULL
863,tobit-regression,35,68962,68961
865,cox-model,208,40440,40439
869,covariance,328,28929,28928
870,hotelling,12,NULL,NULL
873,gaussian-process,127,68411,68410
875,probit,111,37600,37599
877,education,37,NULL,NULL
881,path-model,23,NULL,NULL
883,weighted-sampling,84,NULL,NULL
885,mann-whitney-u-test,116,22275,22274
886,multivariate-regression,76,50297,50296
887,f-test,70,50528,50527
890,exponential-smoothing,49,47851,47850
892,observational-study,34,NULL,NULL
905,f-distribution,21,79438,79437
908,checking,9,NULL,NULL
911,distance,132,NULL,NULL
912,metric,53,67118,67117
913,biplot,18,81216,81215
914,rjags,31,65334,65333
915,repeatability,10,NULL,NULL
917,blocking,20,NULL,NULL
923,neuroimaging,6,NULL,NULL
924,bivariate,67,NULL,NULL
926,auc,65,40836,40835
927,glmnet,77,48858,48857
930,identifiability,27,NULL,NULL
934,nonparametric-bayes,38,65352,65351
936,sources,3,NULL,NULL
937,scoring,35,NULL,NULL
938,regression-coefficients,266,66456,66455
939,numpy,19,80695,80694
941,knowledge-discovery,5,NULL,NULL
942,bonferroni,58,60291,60290
943,binary,107,63413,63412
945,autoregressive,128,65143,65142
951,sequential-analysis,33,34386,34385
956,conditional-expectation,105,76941,76940
957,power-law,44,45325,45324
958,untagged,18,46787,46786
959,hypergeometric,50,63109,63108
960,zero-inflation,90,41459,41458
963,feature-construction,65,NULL,NULL
964,kappa,37,61113,61112
967,standardization,159,14286,14285
968,calc,3,13642,13641
969,random-matrix,17,NULL,NULL
970,amos,34,21865,21864
972,ward,6,NULL,NULL
973,curves,19,NULL,NULL
975,logistic,1624,28327,28326
978,caret,87,45728,45727
979,lme,111,65020,65019
980,validity,37,41631,41630
983,rasch,6,34122,34121
985,irt,51,34124,34123
988,density,53,68903,68902
989,pmml,4,14609,14608
993,rejection-sampling,20,90223,90222
994,posterior,141,68971,68970
995,abc,9,40944,40943
1004,minitab,31,80709,80708
1006,natural-language,66,NULL,NULL
1009,centering,31,81338,81337
1010,quasi-monte-carlo,12,NULL,NULL
1011,macroeconomics,13,79213,79212
1013,randomization,54,NULL,NULL
1015,neweywest,10,NULL,NULL
1016,convergence,151,69281,69280
1017,lags,40,NULL,NULL
1018,model-based-clustering,20,NULL,NULL
1031,2sls,16,21879,21878
1033,group-differences,167,69285,69284
1036,reporting,56,NULL,NULL
1037,media,8,16420,16419
1039,prediction-interval,73,NULL,NULL
1040,trimmed-mean,13,63342,63341
1044,out-of-sample,35,NULL,NULL
1047,expectation-maximization,101,17909,17908
1048,gam,82,43801,43800
1049,nominal,48,81196,81195
1050,confirmatory-factor,66,38034,38033
1052,gbm,49,67590,67589
1054,anderson-darling,18,35251,35250
1055,latin-square,5,103651,103650
1057,treatment-effect,40,68892,68891
1058,c#,13,66841,66840
1061,synthetic-data,13,NULL,NULL
1064,google-spreadsheet,3,NULL,NULL
1068,suppressor,6,NULL,NULL
1069,partial,13,NULL,NULL
1070,partial-correlation,37,NULL,NULL
1071,references,454,36190,36189
1073,bayes-network,64,NULL,NULL
1074,wishart,24,NULL,NULL
1075,inverse-gamma,16,62913,62912
1077,pearson,122,65704,65703
1079,presentation,10,NULL,NULL
1080,consistency,49,28239,28238
1081,lars,18,47986,47985
1084,gis,10,68991,68990
1087,quasi-binomial,6,NULL,NULL
1094,hac,4,NULL,NULL
1095,generalized-least-squares,24,67813,67812
1096,residual-analysis,28,NULL,NULL
1097,linear-algebra,67,68780,68779
1098,parameterization,57,NULL,NULL
1100,elections,5,NULL,NULL
1101,coefficient-of-variation,29,NULL,NULL
1105,dummy-variables,3,NULL,NULL
1106,summations,17,NULL,NULL
1108,ensemble,52,NULL,NULL
1109,unit-root,61,80392,80391
1111,variogram,31,NULL,NULL
1114,quantile-regression,60,68537,68536
1116,minimum-variance,2,NULL,NULL
1124,piecewise-linear,20,NULL,NULL
1126,package,23,NULL,NULL
1129,life-expectancy,6,NULL,NULL
1130,demography,14,56102,56101
1132,phd,4,NULL,NULL
1133,academia,8,NULL,NULL
1134,canonical-correlation,27,72538,72537
1135,marketing,20,NULL,NULL
1136,performance,62,NULL,NULL
1137,forecast,31,NULL,NULL
1139,model,225,66443,66442
1140,scipy,44,80707,80706
1143,prediction,360,79083,79082
1147,polynomial,64,92270,92269
1149,weighted-regression,63,99341,99340
1150,glmer,55,65071,65070
1151,probability-inequalities,50,NULL,NULL
1154,mgf,23,41313,41312
1155,ecology,28,NULL,NULL
1156,spearman-rho,40,64948,64947
1157,paired-data,53,NULL,NULL
1158,association-rules,35,NULL,NULL
1159,statistical-learning,38,NULL,NULL
1160,multi-class,63,NULL,NULL
1161,segmentation,25,NULL,NULL
1166,frequency,88,80475,80474
1167,oversampling,13,NULL,NULL
1168,operations-research,9,21796,21795
1169,gini,20,NULL,NULL
1171,data-cleaning,26,47321,47320
1174,internet,6,66013,66012
1175,conjugate-prior,51,NULL,NULL
1177,euclidean,26,NULL,NULL
1178,conditioning,18,NULL,NULL
1180,method-comparison,36,NULL,NULL
1183,bernoulli-distribution,63,68535,68534
1184,geometric-distribution,16,62891,62890
1185,weibull,56,55645,55644
1186,gumbel,8,NULL,NULL
1187,winbugs,58,47936,47935
1190,umvue,14,NULL,NULL
1191,exponential-family,42,66521,66520
1198,similarities,104,NULL,NULL
1201,gradient-descent,57,NULL,NULL
1202,importance-sampling,26,79219,79218
1205,rms,32,62893,62892
1209,multiarmed-bandit,16,NULL,NULL
1211,sparse,60,67694,67693
1212,paradox,13,23848,23847
1213,libsvm,132,64735,64734
1214,social-science,17,NULL,NULL
1217,nlp,60,41311,41310
1218,database,11,66386,66385
1220,lorenz-curve,2,65508,65507
1221,geomarketing,2,NULL,NULL
1224,scikit-learn,104,24436,24435
1225,incidence-rate-ratio,15,NULL,NULL
1227,kaplan-meier,42,NULL,NULL
1230,statistical-control,28,NULL,NULL
1231,multiple-imputation,108,49035,49034
1232,risk,34,NULL,NULL
1233,point-estimation,32,80368,80367
1234,offset,23,71876,71875
1235,skewness,140,32012,32011
1239,communication,28,25853,25852
1240,ruby,6,66020,66019
1242,beta-regression,22,40845,40844
1243,bayes,117,68610,68609
1244,unit-information-prior,3,NULL,NULL
1246,big-data,28,44122,44121
1253,tolerance-interval,11,NULL,NULL
1254,confidence-distribution,6,NULL,NULL
1257,change-scores,19,92037,92036
1258,kernel-trick,45,NULL,NULL
1259,fiducial,5,27857,27856
1260,paired-comparisons,81,NULL,NULL
1262,dyadic-data,7,27149,27148
1264,geometry,18,NULL,NULL
1266,linear-dynamical-system,6,NULL,NULL
1267,spatial-interaction-model,5,NULL,NULL
1269,general-additive-model,6,NULL,NULL
1270,non-nested,8,NULL,NULL
1272,nested,75,NULL,NULL
1277,data-association,8,NULL,NULL
1278,dirichlet-process,31,NULL,NULL
1279,twin,9,NULL,NULL
1282,segmented-regression,10,NULL,NULL
1284,likelihood,120,65974,65973
1285,train,42,NULL,NULL
1287,na,5,NULL,NULL
1289,multilabel,16,NULL,NULL
1290,quasi-likelihood,13,67811,67810
1291,courses,5,NULL,NULL
1292,exploratory-analysis,5,NULL,NULL
1293,lm,69,63296,63295
1294,absolute-risk,5,63376,63375
1295,rare-events,29,103290,103289
1297,two-step-estimation,10,29830,29829
1299,eigenvalues,61,81698,81697
1302,poisson-process,60,NULL,NULL
1303,data-management,6,NULL,NULL
1304,hyperparameter,28,NULL,NULL
1305,z-test,45,79309,79308
1306,interarrival-time,6,NULL,NULL
1307,representative,11,NULL,NULL
1308,mad,16,30241,30240
1309,mse,38,30454,30453
1310,quadratic-form,25,NULL,NULL
1313,pitch-game,2,NULL,NULL
1319,mplus,15,80693,80692
1321,case-cohort,9,65318,65317
1322,social-network,38,38858,38857
1323,filter,36,NULL,NULL
1324,topic-models,58,NULL,NULL
1325,glmm,155,32458,32457
1327,rlm,5,65320,65319
1328,constrained-regression,19,NULL,NULL
1329,automatic-algorithms,4,NULL,NULL
1334,jackknife,9,38855,38854
1336,fuzzy,23,NULL,NULL
1338,mixed-effect,150,65172,65171
1339,climate,9,NULL,NULL
1343,gllamm,7,37551,37550
1344,sequence-analysis,32,34388,34387
1345,traminer,38,35244,35243
1347,adjustment,18,NULL,NULL
1356,qq-plot,45,38860,38859
1361,local-statistics,3,NULL,NULL
1362,var,77,35734,35733
1364,fdr,40,38851,38850
1368,perl,3,80685,80684
1371,arithmetic,35,NULL,NULL
1372,discussion,4,NULL,NULL
1373,nonlinear,65,NULL,NULL
1374,hierarchical-bayesian,103,37549,37548
1375,stan,17,54838,54837
1380,deming-regression,6,NULL,NULL
1381,pooling,32,NULL,NULL
1382,consulting,2,38473,38472
1384,error-in-variables,4,NULL,NULL
1386,coda,4,52881,52880
1388,capture-mark-recapture,9,49843,49842
1390,sentiment-analysis,11,NULL,NULL
1392,autoencoders,11,NULL,NULL
1395,estimators,75,68567,68566
1396,blue,3,40690,40689
1397,confidence,54,NULL,NULL
1398,sensitivity-analysis,21,40825,40824
1402,clustered-standard-errors,33,51609,51608
1403,bagging,21,NULL,NULL
1404,deep-learning,67,NULL,NULL
1405,deep-belief-networks,35,NULL,NULL
1406,politics,3,NULL,NULL
1412,quotation,4,NULL,NULL
1414,iid,30,44696,44695
1415,replication,22,NULL,NULL
1420,geostatistics,17,NULL,NULL
1421,arch,15,NULL,NULL
1423,gamm4,4,65305,65304
1424,crossover-study,7,44810,44809
1425,rocr,2,44824,44823
1428,fat-tails,16,45495,45494
1429,dependence,17,NULL,NULL
1431,determinant,6,NULL,NULL
1433,univariate,22,46133,46132
1435,pymc,54,46637,46636
1436,risk-difference,2,46727,46726
1437,nnt,1,46732,46731
1438,discriminant,19,NULL,NULL
1439,rbm,45,NULL,NULL
1444,value-of-information,6,47834,47833
1449,cv.glm,4,65309,65308
1451,average-precision,12,NULL,NULL
1453,generalized-moments,33,49005,49004
1454,gaussian-mixture,92,69007,69006
1455,growth-model,24,NULL,NULL
1457,vif,26,49116,49115
1458,programming,22,NULL,NULL
1460,ergodic,10,NULL,NULL
1462,ecm,5,77455,77454
1463,numerical-integration,24,68616,68615
1466,duan-smearing,1,49879,49878
1468,environmental-data,6,NULL,NULL
1469,non-inferiority,4,50294,50293
1471,compositional-data,11,NULL,NULL
1473,sandwich,7,86514,86513
1475,computer-vision,20,NULL,NULL
1477,imputation,4,NULL,NULL
1479,spectral-analysis,24,NULL,NULL
1480,growth-mixture-model,10,51550,51549
1482,cluster-sample,27,51602,51601
1483,self-study,1784,51952,51951
1484,classification-tree,44,56647,56646
1485,heuristic,3,52549,52548
1486,cost-maximization,11,NULL,NULL
1487,poisson-regression,92,52547,52546
1488,mixed,40,NULL,NULL
1489,effects,18,NULL,NULL
1491,chemometrics,10,NULL,NULL
1493,timelines,3,NULL,NULL
1495,test-equating,2,54602,54601
1501,fishersexact,87,55972,55971
1502,mice,20,55697,55696
1503,qsar,1,56028,56027
1505,k-medoids,9,NULL,NULL
1510,valuation,8,NULL,NULL
1513,uninformative-prior,12,NULL,NULL
1515,penalized,13,NULL,NULL
1519,qualitative,8,NULL,NULL
1526,supervised-learning,62,NULL,NULL
1529,age,5,NULL,NULL
1530,non-stationary,37,62155,62154
1532,markov-chain,81,103049,103048
1534,double-blind,1,60287,60286
1537,benchmark,6,NULL,NULL
1540,variance-decomposition,4,NULL,NULL
1545,endogeneity,27,61120,61119
1548,regression-to-the-mean,5,NULL,NULL
1549,puzzle,3,61586,61585
1550,mfcc,4,NULL,NULL
1551,population-ecology,4,NULL,NULL
1552,specificity,11,62978,62977
1553,sensitivity,21,62980,62979
1554,underdispersion,6,67698,67697
1557,artificial-intelligence,20,NULL,NULL
1558,np,2,62701,62700
1560,joint-distribution,109,62343,62342
1561,starting-values,5,63421,63420
1562,recursive-model,4,NULL,NULL
1565,pivot-table,3,62934,62933
1567,underdetermined,10,63265,63264
1568,mcnemar-test,28,65535,65534
1569,subset,21,NULL,NULL
1570,planned-comparisons-test,6,NULL,NULL
1572,coefficient,37,NULL,NULL
1573,anosim,2,80671,80670
1577,coverage-probability,7,NULL,NULL
1579,overfitting,59,81363,81362
1580,lifetable,3,NULL,NULL
1581,polr,4,80681,80680
1582,error-message,27,64367,64366
1585,lme4,103,65303,65302
1587,eviews,19,64871,64870
1590,kendall-tau,16,64946,64945
1591,ronald-fisher,2,65076,65075
1592,fisher-information,29,69057,69056
1593,fisher-transform,6,64995,64994
1594,cholesky,7,NULL,NULL
1596,optimal,4,NULL,NULL
1597,covariate,36,66452,66451
1599,difference-in-difference,32,68668,68667
1600,musical-data-analysis,4,NULL,NULL
1601,rmr,2,81232,81231
1602,rhadoop,2,80667,80666
1603,theta-method,2,67809,67808
1604,chi-distribution,1,67110,67109
1605,fortran,1,67217,67216
