Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
104,49,2,2010-07-19,NULL,NULL
105,65,2,2010-07-19,NULL,NULL
106,5,2,2010-07-19,NULL,NULL
107,14,2,2010-07-19,NULL,NULL
108,65,2,2010-07-19,NULL,NULL
109,65,2,2010-07-19,NULL,NULL
110,31,5,2010-07-19,94,NULL
111,31,2,2010-07-19,NULL,NULL
112,58,2,2010-07-19,NULL,NULL
113,12,2,2010-07-19,NULL,NULL
114,71,2,2010-07-19,NULL,NULL
115,6,2,2010-07-19,NULL,NULL
116,6,5,2010-07-19,22,NULL
118,61,2,2010-07-19,NULL,NULL
119,41,2,2010-07-19,NULL,NULL
120,77,2,2010-07-19,NULL,NULL
121,48,2,2010-07-19,NULL,NULL
122,72,2,2010-07-19,NULL,NULL
123,57,3,2010-07-19,NULL,NULL
124,63,2,2010-07-19,NULL,NULL
125,53,2,2010-07-19,NULL,NULL
127,5,2,2010-07-19,NULL,NULL
128,44,3,2010-07-19,NULL,NULL
132,46,3,2010-07-19,NULL,NULL
133,5,2,2010-07-19,NULL,NULL
134,65,2,2010-07-19,NULL,NULL
135,73,3,2010-07-19,NULL,NULL
136,76,2,2010-07-19,NULL,NULL
137,3,2,2010-07-19,NULL,NULL
139,53,2,2010-07-19,NULL,NULL
140,53,5,2010-07-19,87,NULL
141,77,2,2010-07-19,NULL,NULL
142,36,2,2010-07-19,NULL,NULL
143,73,2,2010-07-19,NULL,NULL
144,76,2,2010-07-19,NULL,NULL
145,36,2,2010-07-19,NULL,NULL
146,79,2,2010-07-19,NULL,NULL
147,44,5,2010-07-19,102,NULL
148,44,2,2010-07-19,NULL,NULL
149,44,2,2010-07-19,NULL,NULL
150,63,2,2010-07-19,NULL,NULL
151,67,3,2010-07-19,NULL,NULL
152,84,2,2010-07-19,NULL,NULL
154,80,2,2010-07-19,NULL,NULL
155,8,2,2010-07-19,NULL,NULL
156,44,2,2010-07-19,NULL,NULL
157,84,2,2010-07-19,NULL,NULL
158,57,3,2010-07-19,NULL,NULL
160,43,2,2010-07-19,NULL,NULL
161,44,2,2010-07-19,NULL,NULL
162,84,2,2010-07-19,NULL,NULL
163,8,3,2010-07-19,NULL,NULL
164,57,2,2010-07-19,NULL,NULL
165,85,2,2010-07-19,NULL,NULL
166,50,2,2010-07-19,NULL,NULL
167,48,2,2010-07-19,NULL,NULL
168,76,2,2010-07-19,NULL,NULL
169,81,2,2010-07-19,NULL,NULL
170,64,2,2010-07-19,NULL,NULL
171,51,2,2010-07-19,NULL,NULL
173,80,2,2010-07-19,NULL,NULL
174,50,2,2010-07-19,NULL,NULL
176,90,2,2010-07-19,NULL,NULL
177,83,2,2010-07-19,NULL,NULL
178,23,2,2010-07-19,NULL,NULL
179,59,2,2010-07-19,NULL,NULL
180,2,2,2010-07-19,NULL,NULL
181,26,2,2010-07-19,NULL,NULL
182,91,2,2010-07-19,NULL,NULL
183,91,2,2010-07-19,NULL,NULL
186,94,2,2010-07-19,NULL,NULL
187,5,2,2010-07-19,NULL,NULL
188,31,2,2010-07-19,NULL,NULL
189,5,2,2010-07-19,NULL,NULL
190,76,2,2010-07-19,NULL,NULL
191,73,2,2010-07-19,NULL,NULL
192,97,2,2010-07-19,NULL,NULL
193,47,2,2010-07-19,NULL,NULL
194,10,2,2010-07-19,NULL,NULL
195,43,2,2010-07-19,NULL,NULL
196,78,2,2010-07-19,NULL,NULL
197,55,2,2010-07-19,NULL,NULL
198,44,2,2010-07-19,NULL,NULL
199,89,2,2010-07-19,NULL,NULL
200,15,2,2010-07-19,NULL,NULL
201,98,2,2010-07-19,NULL,NULL
202,91,2,2010-07-19,NULL,NULL
203,5,2,2010-07-19,NULL,NULL
204,6,5,2010-07-19,24,NULL
205,10,5,2010-07-19,24,NULL
206,54,2,2010-07-19,NULL,NULL
208,95,2,2010-07-19,NULL,NULL
209,100,2,2010-07-19,NULL,NULL
211,73,3,2010-07-19,NULL,NULL
214,76,2,2010-07-19,NULL,NULL
215,105,2,2010-07-19,NULL,NULL
216,102,3,2010-07-19,NULL,NULL
217,67,2,2010-07-19,NULL,NULL
218,44,3,2010-07-19,NULL,NULL
219,3,2,2010-07-19,NULL,NULL
220,78,2,2010-07-19,NULL,NULL
221,105,2,2010-07-19,NULL,NULL
222,107,2,2010-07-19,NULL,NULL
223,31,2,2010-07-19,NULL,NULL
224,103,2,2010-07-19,NULL,NULL
226,69,2,2010-07-19,NULL,NULL
227,75,2,2010-07-19,NULL,NULL
228,75,5,2010-07-19,22,NULL
229,1,2,2010-07-19,NULL,NULL
230,80,2,2010-07-19,NULL,NULL
231,99,2,2010-07-19,NULL,NULL
232,26,2,2010-07-19,NULL,NULL
233,80,1,2010-07-19,NULL,NULL
234,104,2,2010-07-19,NULL,NULL
235,103,2,2010-07-19,NULL,NULL
236,105,2,2010-07-19,NULL,NULL
237,107,2,2010-07-19,NULL,NULL
238,108,2,2010-07-19,NULL,NULL
239,103,5,2010-07-19,128,NULL
240,113,5,2010-07-19,22,NULL
241,113,2,2010-07-19,NULL,NULL
244,5,2,2010-07-19,NULL,NULL
245,5,2,2010-07-19,NULL,NULL
246,14,2,2010-07-19,NULL,NULL
247,103,3,2010-07-19,NULL,NULL
249,78,2,2010-07-19,NULL,NULL
250,78,2,2010-07-19,NULL,NULL
251,110,2,2010-07-19,NULL,NULL
252,114,2,2010-07-19,NULL,NULL
253,18,2,2010-07-19,NULL,NULL
254,7,2,2010-07-19,NULL,NULL
255,76,2,2010-07-19,NULL,NULL
256,111,2,2010-07-19,NULL,NULL
257,90,2,2010-07-19,NULL,NULL
258,94,2,2010-07-19,NULL,NULL
259,96,2,2010-07-19,NULL,NULL
260,8,3,2010-07-19,NULL,NULL
261,118,2,2010-07-19,NULL,NULL
262,114,2,2010-07-19,NULL,NULL
263,114,5,2010-07-19,22,NULL
267,5,2,2010-07-19,NULL,NULL
268,99,2,2010-07-19,NULL,NULL
269,123,2,2010-07-19,NULL,NULL
270,123,2,2010-07-19,NULL,NULL
271,121,2,2010-07-19,NULL,NULL
272,120,2,2010-07-19,NULL,NULL
275,65,2,2010-07-19,NULL,NULL
276,126,2,2010-07-19,NULL,NULL
278,120,2,2010-07-19,NULL,NULL
279,126,2,2010-07-19,NULL,NULL
281,124,5,2010-07-19,81,NULL
282,124,2,2010-07-19,NULL,NULL
283,131,2,2010-07-19,NULL,NULL
284,125,2,2010-07-19,NULL,NULL
285,85,2,2010-07-19,NULL,NULL
286,131,2,2010-07-19,NULL,NULL
287,116,2,2010-07-19,NULL,NULL
288,126,2,2010-07-19,NULL,NULL
289,105,2,2010-07-19,NULL,NULL
290,121,2,2010-07-19,NULL,NULL
291,123,2,2010-07-19,NULL,NULL
292,103,5,2010-07-19,142,NULL
294,138,2,2010-07-19,NULL,NULL
296,140,2,2010-07-19,NULL,NULL
297,65,2,2010-07-19,NULL,NULL
298,144,2,2010-07-19,NULL,NULL
299,131,2,2010-07-19,NULL,NULL
300,6,2,2010-07-19,NULL,NULL
302,7,2,2010-07-19,NULL,NULL
303,75,5,2010-07-19,142,NULL
305,3,5,2010-07-19,142,NULL
306,103,2,2010-07-19,NULL,NULL
307,63,2,2010-07-19,NULL,NULL
308,31,2,2010-07-19,NULL,NULL
309,147,2,2010-07-19,NULL,NULL
310,148,2,2010-07-19,NULL,NULL
311,22,2,2010-07-19,NULL,NULL
313,78,1,2010-07-19,NULL,NULL
314,149,2,2010-07-19,NULL,NULL
315,134,2,2010-07-19,NULL,NULL
317,124,2,2010-07-19,NULL,NULL
324,118,2,2010-07-19,NULL,NULL
325,3,2,2010-07-19,NULL,NULL
326,69,2,2010-07-19,NULL,NULL
327,130,2,2010-07-19,NULL,NULL
328,124,5,2010-07-19,138,NULL
329,117,2,2010-07-19,NULL,NULL
330,153,2,2010-07-19,NULL,NULL
331,157,2,2010-07-19,NULL,NULL
332,155,2,2010-07-19,NULL,NULL
333,157,2,2010-07-19,NULL,NULL
334,103,5,2010-07-19,158,NULL
335,141,2,2010-07-19,NULL,NULL
336,107,2,2010-07-19,NULL,NULL
337,108,2,2010-07-19,NULL,NULL
338,41,2,2010-07-19,NULL,NULL
339,120,2,2010-07-19,NULL,NULL
340,123,2,2010-07-19,NULL,NULL
341,125,2,2010-07-19,NULL,NULL
342,145,2,2010-07-19,NULL,NULL
343,50,2,2010-07-19,NULL,NULL
344,147,2,2010-07-19,NULL,NULL
345,148,2,2010-07-19,NULL,NULL
346,7,5,2010-07-19,158,NULL
347,7,2,2010-07-19,NULL,NULL
349,22,2,2010-07-19,NULL,NULL
350,6,5,2010-07-19,158,NULL
351,73,5,2010-07-19,158,NULL
352,73,2,2010-07-19,NULL,NULL
353,3,2,2010-07-19,NULL,NULL
354,3,5,2010-07-19,158,NULL
355,114,5,2010-07-19,158,NULL
356,117,2,2010-07-19,NULL,NULL
358,75,2,2010-07-19,NULL,NULL
359,75,5,2010-07-19,158,NULL
360,138,5,2010-07-19,158,NULL
361,143,2,2010-07-19,NULL,NULL
362,137,2,2010-07-19,NULL,NULL
363,125,5,2010-07-19,158,NULL
364,25,2,2010-07-19,NULL,NULL
365,120,2,2010-07-19,NULL,NULL
366,121,2,2010-07-19,NULL,NULL
367,22,2,2010-07-19,NULL,NULL
368,22,5,2010-07-19,71,NULL
369,56,2,2010-07-19,NULL,NULL
370,1,2,2010-07-19,NULL,NULL
371,1,5,2010-07-19,71,NULL
372,154,2,2010-07-19,NULL,NULL
373,15,2,2010-07-19,NULL,NULL
374,103,2,2010-07-19,NULL,NULL
375,31,2,2010-07-19,NULL,NULL
376,143,2,2010-07-19,NULL,NULL
377,137,2,2010-07-19,NULL,NULL
378,124,2,2010-07-19,NULL,NULL
379,31,2,2010-07-19,NULL,NULL
382,172,2,2010-07-19,NULL,NULL
383,153,2,2010-07-20,NULL,NULL
384,126,2,2010-07-20,NULL,NULL
385,174,2,2010-07-20,NULL,NULL
386,77,2,2010-07-20,NULL,NULL
387,63,2,2010-07-20,NULL,NULL
388,117,2,2010-07-20,NULL,NULL
389,177,2,2010-07-20,NULL,NULL
390,96,2,2010-07-20,NULL,NULL
391,91,2,2010-07-20,NULL,NULL
392,179,2,2010-07-20,NULL,NULL
393,168,2,2010-07-20,NULL,NULL
394,5,2,2010-07-20,NULL,NULL
396,166,2,2010-07-20,NULL,NULL
397,147,2,2010-07-20,NULL,NULL
398,148,2,2010-07-20,NULL,NULL
399,180,2,2010-07-20,NULL,NULL
400,169,2,2010-07-20,NULL,NULL
401,164,2,2010-07-20,NULL,NULL
402,101,2,2010-07-20,NULL,NULL
403,73,2,2010-07-20,NULL,NULL
404,145,2,2010-07-20,NULL,NULL
405,81,2,2010-07-20,NULL,NULL
406,73,5,2010-07-20,90,NULL
407,177,2,2010-07-20,NULL,NULL
408,177,2,2010-07-20,NULL,NULL
409,182,2,2010-07-20,NULL,NULL
410,135,2,2010-07-20,NULL,NULL
411,29,2,2010-07-20,NULL,NULL
413,124,2,2010-07-20,NULL,NULL
414,124,5,2010-07-20,80,NULL
415,4,2,2010-07-20,NULL,NULL
416,137,2,2010-07-20,NULL,NULL
417,159,2,2010-07-20,NULL,NULL
418,182,3,2010-07-20,NULL,NULL
419,177,2,2010-07-20,NULL,NULL
420,130,5,2010-07-20,169,NULL
421,187,2,2010-07-20,NULL,NULL
422,170,2,2010-07-20,NULL,NULL
423,175,2,2010-07-20,NULL,NULL
424,166,2,2010-07-20,NULL,NULL
425,172,2,2010-07-20,NULL,NULL
426,165,2,2010-07-20,NULL,NULL
427,41,3,2010-07-20,NULL,NULL
428,22,2,2010-07-20,NULL,NULL
429,188,2,2010-07-20,NULL,NULL
430,165,2,2010-07-20,NULL,NULL
431,121,2,2010-07-20,NULL,NULL
432,192,5,2010-07-20,1356,NULL
433,5,2,2010-07-20,NULL,NULL
434,153,2,2010-07-20,NULL,NULL
436,159,2,2010-07-20,NULL,NULL
437,97,2,2010-07-20,NULL,NULL
438,97,5,2010-07-20,24,NULL
439,66,2,2010-07-20,NULL,NULL
440,86,2,2010-07-20,NULL,NULL
441,79,2,2010-07-20,NULL,NULL
442,189,2,2010-07-20,NULL,NULL
443,134,2,2010-07-20,NULL,NULL
444,166,2,2010-07-20,NULL,NULL
445,170,2,2010-07-20,NULL,NULL
446,174,2,2010-07-20,NULL,NULL
447,184,2,2010-07-20,NULL,NULL
448,33,2,2010-07-20,NULL,NULL
449,156,5,2010-07-20,148,NULL
450,104,2,2010-07-20,NULL,NULL
451,165,2,2010-07-20,NULL,NULL
452,192,2,2010-07-20,NULL,NULL
454,192,2,2010-07-20,NULL,NULL
455,151,2,2010-07-20,NULL,NULL
456,103,2,2010-07-20,NULL,NULL
457,165,2,2010-07-20,NULL,NULL
458,56,2,2010-07-20,NULL,NULL
459,114,5,2010-07-20,83,NULL
460,193,2,2010-07-20,NULL,NULL
461,42,2,2010-07-20,NULL,NULL
462,130,2,2010-07-20,NULL,NULL
463,23,2,2010-07-20,NULL,NULL
464,176,2,2010-07-20,NULL,NULL
465,189,2,2010-07-20,NULL,NULL
466,91,2,2010-07-20,NULL,NULL
467,118,2,2010-07-20,NULL,NULL
468,198,2,2010-07-20,NULL,NULL
469,3,2,2010-07-20,NULL,NULL
470,5,2,2010-07-20,NULL,NULL
471,101,2,2010-07-20,NULL,NULL
472,151,1,2010-07-20,NULL,NULL
473,61,2,2010-07-20,NULL,NULL
474,57,2,2010-07-20,NULL,NULL
475,121,2,2010-07-20,NULL,NULL
476,202,2,2010-07-20,NULL,NULL
477,172,2,2010-07-20,NULL,NULL
478,118,2,2010-07-20,NULL,NULL
479,7,2,2010-07-20,NULL,NULL
480,165,2,2010-07-20,NULL,NULL
481,200,2,2010-07-20,NULL,NULL
482,199,2,2010-07-20,NULL,NULL
483,44,2,2010-07-20,NULL,NULL
484,5,2,2010-07-20,NULL,NULL
487,170,5,2010-07-20,18,NULL
489,200,2,2010-07-20,NULL,NULL
490,151,2,2010-07-20,NULL,NULL
491,166,2,2010-07-20,NULL,NULL
492,74,2,2010-07-20,NULL,NULL
493,209,2,2010-07-20,NULL,NULL
494,213,2,2010-07-20,NULL,NULL
496,1,2,2010-07-20,NULL,NULL
497,118,2,2010-07-20,NULL,NULL
498,101,2,2010-07-20,NULL,NULL
499,149,1,2010-07-20,NULL,NULL
500,216,5,2010-07-20,71,NULL
501,216,2,2010-07-20,NULL,NULL
502,217,2,2010-07-20,NULL,NULL
504,149,2,2010-07-20,NULL,NULL
505,213,2,2010-07-20,NULL,NULL
506,208,2,2010-07-20,NULL,NULL
507,46,2,2010-07-20,NULL,NULL
508,111,2,2010-07-20,NULL,NULL
509,15,2,2010-07-20,NULL,NULL
510,215,2,2010-07-20,NULL,NULL
511,211,2,2010-07-20,NULL,NULL
512,205,2,2010-07-20,NULL,NULL
513,221,2,2010-07-20,NULL,NULL
514,213,2,2010-07-20,NULL,NULL
515,118,2,2010-07-20,NULL,NULL
518,119,3,2010-07-20,NULL,NULL
519,221,2,2010-07-20,NULL,NULL
520,221,2,2010-07-20,NULL,NULL
521,95,2,2010-07-20,NULL,NULL
522,95,5,2010-07-20,154,NULL
524,207,2,2010-07-20,NULL,NULL
525,165,2,2010-07-20,NULL,NULL
526,126,2,2010-07-20,NULL,NULL
527,7,2,2010-07-20,NULL,NULL
528,18,2,2010-07-20,NULL,NULL
529,225,2,2010-07-20,NULL,NULL
530,224,2,2010-07-20,NULL,NULL
531,223,2,2010-07-20,NULL,NULL
532,209,2,2010-07-20,NULL,NULL
533,222,2,2010-07-20,NULL,NULL
534,220,2,2010-07-20,NULL,NULL
535,216,2,2010-07-20,NULL,NULL
536,213,2,2010-07-20,NULL,NULL
537,212,2,2010-07-20,NULL,NULL
538,206,2,2010-07-20,NULL,NULL
539,205,2,2010-07-20,NULL,NULL
540,203,2,2010-07-20,NULL,NULL
541,196,2,2010-07-20,NULL,NULL
542,195,2,2010-07-20,NULL,NULL
543,194,2,2010-07-20,NULL,NULL
544,192,2,2010-07-20,NULL,NULL
545,183,2,2010-07-20,NULL,NULL
546,181,2,2010-07-20,NULL,NULL
547,173,2,2010-07-20,NULL,NULL
549,166,2,2010-07-20,NULL,NULL
550,231,2,2010-07-20,NULL,NULL
551,161,2,2010-07-20,NULL,NULL
552,156,2,2010-07-20,NULL,NULL
553,155,2,2010-07-20,NULL,NULL
554,152,2,2010-07-20,NULL,NULL
555,146,2,2010-07-20,NULL,NULL
556,229,2,2010-07-20,NULL,NULL
558,220,2,2010-07-20,NULL,NULL
559,134,2,2010-07-20,NULL,NULL
560,130,2,2010-07-20,NULL,NULL
561,128,2,2010-07-20,NULL,NULL
562,125,2,2010-07-20,NULL,NULL
563,124,2,2010-07-20,NULL,NULL
564,118,2,2010-07-20,NULL,NULL
565,217,2,2010-07-20,NULL,NULL
566,185,2,2010-07-20,NULL,NULL
567,216,2,2010-07-20,NULL,NULL
568,134,5,2010-07-20,138,NULL
569,224,5,2010-07-20,138,NULL
570,235,2,2010-07-20,NULL,NULL
571,216,5,2010-07-20,138,NULL
572,54,2,2010-07-20,NULL,NULL
573,226,2,2010-07-20,NULL,NULL
574,200,2,2010-07-20,NULL,NULL
575,162,2,2010-07-20,NULL,NULL
576,5,2,2010-07-20,NULL,NULL
577,9,2,2010-07-20,NULL,NULL
578,22,2,2010-07-20,NULL,NULL
579,207,2,2010-07-20,NULL,NULL
580,3,5,2010-07-20,138,NULL
581,224,2,2010-07-20,NULL,NULL
582,137,2,2010-07-20,NULL,NULL
583,229,2,2010-07-20,NULL,NULL
584,118,5,2010-07-20,196,NULL
585,170,5,2010-07-20,206,NULL
586,22,5,2010-07-20,206,NULL
587,22,2,2010-07-20,NULL,NULL
588,240,2,2010-07-20,NULL,NULL
589,226,2,2010-07-20,NULL,NULL
591,196,5,2010-07-20,212,NULL
592,238,2,2010-07-20,NULL,NULL
593,232,2,2010-07-20,NULL,NULL
594,47,2,2010-07-20,NULL,NULL
595,47,5,2010-07-20,87,NULL
596,7,5,2010-07-20,212,NULL
597,170,5,2010-07-20,212,NULL
598,138,5,2010-07-20,212,NULL
599,202,2,2010-07-20,NULL,NULL
600,56,2,2010-07-20,NULL,NULL
601,22,2,2010-07-20,NULL,NULL
602,22,5,2010-07-20,87,NULL
603,171,2,2010-07-20,NULL,NULL
604,161,2,2010-07-20,NULL,NULL
605,3,5,2010-07-20,87,NULL
607,243,2,2010-07-20,NULL,NULL
608,243,2,2010-07-20,NULL,NULL
610,138,2,2010-07-20,NULL,NULL
611,50,2,2010-07-20,NULL,NULL
612,226,2,2010-07-20,NULL,NULL
613,56,2,2010-07-20,NULL,NULL
614,242,2,2010-07-20,NULL,NULL
615,130,2,2010-07-20,NULL,NULL
616,130,5,2010-07-20,81,NULL
617,216,2,2010-07-20,NULL,NULL
618,73,2,2010-07-20,NULL,NULL
619,86,2,2010-07-20,NULL,NULL
621,165,2,2010-07-20,NULL,NULL
622,165,5,2010-07-20,57,NULL
623,81,2,2010-07-20,NULL,NULL
624,73,2,2010-07-20,NULL,NULL
625,139,2,2010-07-20,NULL,NULL
626,1,2,2010-07-20,NULL,NULL
627,91,2,2010-07-20,NULL,NULL
628,261,2,2010-07-20,NULL,NULL
629,257,2,2010-07-20,NULL,NULL
630,260,2,2010-07-20,NULL,NULL
631,176,2,2010-07-20,NULL,NULL
632,231,2,2010-07-20,NULL,NULL
633,130,2,2010-07-20,NULL,NULL
634,130,5,2010-07-20,187,NULL
635,263,2,2010-07-20,NULL,NULL
636,256,2,2010-07-20,NULL,NULL
637,264,2,2010-07-20,NULL,NULL
638,258,2,2010-07-20,NULL,NULL
639,261,2,2010-07-20,NULL,NULL
640,262,2,2010-07-20,NULL,NULL
641,262,2,2010-07-20,NULL,NULL
642,261,2,2010-07-20,NULL,NULL
643,262,2,2010-07-20,NULL,NULL
644,257,2,2010-07-20,NULL,NULL
645,197,2,2010-07-20,NULL,NULL
646,204,2,2010-07-20,NULL,NULL
647,248,2,2010-07-20,NULL,NULL
648,196,2,2010-07-20,NULL,NULL
649,207,2,2010-07-20,NULL,NULL
650,250,2,2010-07-20,NULL,NULL
652,47,2,2010-07-20,NULL,NULL
653,85,2,2010-07-20,NULL,NULL
654,271,2,2010-07-20,NULL,NULL
655,57,2,2010-07-20,NULL,NULL
656,254,2,2010-07-20,NULL,NULL
661,32,2,2010-07-20,NULL,NULL
662,274,2,2010-07-20,NULL,NULL
663,269,2,2010-07-20,NULL,NULL
664,43,2,2010-07-20,NULL,NULL
665,275,2,2010-07-20,NULL,NULL
666,274,2,2010-07-20,NULL,NULL
667,274,2,2010-07-20,NULL,NULL
668,179,2,2010-07-20,NULL,NULL
669,222,2,2010-07-20,NULL,NULL
670,176,2,2010-07-20,NULL,NULL
671,56,2,2010-07-20,NULL,NULL
672,22,2,2010-07-20,NULL,NULL
673,22,5,2010-07-20,90,NULL
674,276,2,2010-07-20,NULL,NULL
675,268,2,2010-07-20,NULL,NULL
676,279,2,2010-07-20,NULL,NULL
677,121,2,2010-07-20,NULL,NULL
678,270,2,2010-07-20,NULL,NULL
680,271,2,2010-07-20,NULL,NULL
681,190,2,2010-07-20,NULL,NULL
682,214,2,2010-07-20,NULL,NULL
683,288,2,2010-07-20,NULL,NULL
684,224,2,2010-07-20,NULL,NULL
685,224,5,2010-07-20,80,NULL
686,216,2,2010-07-20,NULL,NULL
687,216,5,2010-07-20,80,NULL
688,259,2,2010-07-20,NULL,NULL
689,263,2,2010-07-20,NULL,NULL
690,287,2,2010-07-20,NULL,NULL
691,244,2,2010-07-20,NULL,NULL
692,78,2,2010-07-20,NULL,NULL
693,7,2,2010-07-20,NULL,NULL
694,265,2,2010-07-20,NULL,NULL
695,18,2,2010-07-20,NULL,NULL
696,12,2,2010-07-20,NULL,NULL
697,70,2,2010-07-20,NULL,NULL
698,31,2,2010-07-20,NULL,NULL
699,252,2,2010-07-20,NULL,NULL
700,171,2,2010-07-20,NULL,NULL
701,28,2,2010-07-20,NULL,NULL
702,294,2,2010-07-20,NULL,NULL
704,290,2,2010-07-20,NULL,NULL
705,14,2,2010-07-20,NULL,NULL
706,16,2,2010-07-20,NULL,NULL
707,299,2,2010-07-20,NULL,NULL
708,237,2,2010-07-20,NULL,NULL
709,302,2,2010-07-20,NULL,NULL
710,301,2,2010-07-20,NULL,NULL
711,117,2,2010-07-20,NULL,NULL
712,242,2,2010-07-20,NULL,NULL
713,246,2,2010-07-20,NULL,NULL
714,271,1,2010-07-20,NULL,NULL
715,65,2,2010-07-20,NULL,NULL
716,22,2,2010-07-20,NULL,NULL
717,302,2,2010-07-20,NULL,NULL
718,19,2,2010-07-20,NULL,NULL
719,18,1,2010-07-20,NULL,NULL
720,42,2,2010-07-20,NULL,NULL
721,178,2,2010-07-20,NULL,NULL
722,175,5,2010-07-20,229,NULL
723,290,2,2010-07-20,NULL,NULL
724,35,5,2010-07-20,229,NULL
725,230,2,2010-07-20,NULL,NULL
726,151,3,2010-07-20,NULL,NULL
727,119,2,2010-07-20,NULL,NULL
728,283,2,2010-07-20,NULL,NULL
729,262,2,2010-07-20,NULL,NULL
730,57,2,2010-07-20,NULL,NULL
731,244,2,2010-07-20,NULL,NULL
732,196,2,2010-07-20,NULL,NULL
733,221,2,2010-07-20,NULL,NULL
734,163,2,2010-07-20,NULL,NULL
735,218,2,2010-07-20,NULL,NULL
736,76,2,2010-07-20,NULL,NULL
737,213,2,2010-07-20,NULL,NULL
738,213,5,2010-07-20,22,NULL
739,232,2,2010-07-20,NULL,NULL
740,310,2,2010-07-20,NULL,NULL
744,121,2,2010-07-20,NULL,NULL
745,312,2,2010-07-20,NULL,NULL
746,24,2,2010-07-20,NULL,NULL
747,297,2,2010-07-20,NULL,NULL
